lmax,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,slc_mean,slc_std,ssh_mean,ssh_std,variance_ratio,mean_errors,standardized_errors,w2_distances,kl_divergences
64,318400.0,0.002,-200.0,66608.84270383722,4.158052214834936e-06,-47161.83857572367,1.9233621283811122e-06,0.21396475629409803,-113770.68127956089,-24833468437.429768,113770.68127956089,1.7494784651849024e+21
64,318400.0,0.002,-66.66666666666666,22202.947567945663,4.158052214834936e-06,-15720.61285857379,1.9233621283811122e-06,0.21396475629409803,-37923.560426519456,-8277822812.476406,37923.560426519456,1.943864961316472e+20
64,318400.0,0.002,66.66666666666669,-22202.947567945605,4.158052214834936e-06,15720.612858573935,1.9233621283811122e-06,0.21396475629409803,37923.56042651954,8277822812.476425,37923.56042651954,1.9438649613164813e+20
64,318400.0,0.002,200.0,-66608.84270383722,4.158052214834936e-06,47161.83857572367,1.9233621283811122e-06,0.21396475629409803,113770.68127956089,24833468437.429768,113770.68127956089,1.7494784651849024e+21
64,318400.0,0.2515,-200.0,66608.84270383722,0.0005228750660154925,-47161.83857572367,0.00024186278764392097,0.21396475629409176,-113770.68127956089,-197482850.39705658,113770.68127956089,1.1063501868692157e+17
64,318400.0,0.2515,-66.66666666666666,22202.947567945663,0.0005228750660154925,-15720.61285857379,0.00024186278764392097,0.21396475629409176,-37923.560426519456,-65827616.79901741,37923.560426519456,1.2292779854101854e+16
64,318400.0,0.2515,66.66666666666669,-22202.947567945605,0.0005228750660154925,15720.612858573935,0.00024186278764392097,0.21396475629409176,37923.56042651954,65827616.799017556,37923.56042651954,1.229277985410191e+16
64,318400.0,0.2515,200.0,-66608.84270383722,0.0005228750660154925,47161.83857572367,0.00024186278764392097,0.21396475629409176,113770.68127956089,197482850.39705658,113770.68127956089,1.1063501868692157e+17
64,318400.0,0.501,-200.0,66608.84270383722,0.0010415920798161626,-47161.83857572367,0.0004818022131594747,0.21396475629409886,-113770.68127956089,-99135602.54462871,113770.68127956089,2.7880023827552216e+16
64,318400.0,0.501,-66.66666666666666,22202.947567945663,0.0010415920798161626,-15720.61285857379,0.0004818022131594747,0.21396475629409886,-37923.560426519456,-33045200.84820884,37923.560426519456,3097780425283443.0
