lmaxes,slc_means,slc_stds,ssh_means,ssh_stds,variance_ratios,mean_errors,standardized_errors,w2_distances,kl_divergences
30,3.9149793839846563,6.305154355715893e-10,3.773540096434223,5.977690722357981e-10,0.898825607701479,-0.14143928755043333,-162791527.07677782,0.14143928755043333,2.7992600205336664e+16
40,3.7790812055419125,6.340771907180884e-10,3.6457563267444386,5.983469109216433e-10,0.8904752329103579,-0.1333248787974739,-152926789.323553,0.1333248787974739,2.4824830560570136e+16
50,3.8323067175285197,6.388950823124554e-10,3.697359518031171,6.006763910629232e-10,0.8839384694082626,-0.1349471994973488,-153886660.02414978,0.1349471994973488,2.523577410587134e+16
64,3.8662607035497185,6.42641651815334e-10,3.7298564426296714,6.01804327004974e-10,0.8769460404792794,-0.1364042609200471,-154929162.3529226,0.1364042609200471,2.5687111204461104e+16
80,3.9066300514551333,6.469390627664056e-10,3.769678034320606,6.034118960115402e-10,0.8699634075024236,-0.1369520171345271,-154806254.88022122,0.1369520171345271,2.575604262418569e+16
100,3.8780843300503585,6.514726507796605e-10,3.743959510781163,6.05111868342077e-10,0.8627380750758024,-0.1341248192691955,-150847134.73538238,0.1341248192691955,2.4565010935459336e+16
128,3.9055724860319336,6.56226119160214e-10,3.7697436645712226,6.063584753669995e-10,0.8537916048356587,-0.13582882146071107,-152022533.09391817,0.13582882146071107,2.5089670899467696e+16
160,3.9008784046255425,6.600762587115518e-10,3.7660012698270235,6.072071042201774e-10,0.8462242430976077,-0.13487713479851893,-150384125.38546392,0.13487713479851893,2.4670217560314616e+16
200,3.915758427977615,6.646121160581961e-10,3.7810933728063745,6.078993769665839e-10,0.8366173905684006,-0.1346650551712405,-149512434.42364123,0.1346650551712405,2.453671590304744e+16
256,3.8968120190805964,6.691130005171772e-10,3.7635086294842144,6.08615464728702e-10,0.8273457317759594,-0.133303389596382,-147377560.33395702,0.133303389596382,2.3986474616855364e+16
320,3.9116214334045942,6.732577318363159e-10,3.7777983829200807,6.088627352551203e-10,0.8178545788305412,-0.13382305048451348,-147424616.42891824,0.13382305048451348,2.415422270934709e+16
400,3.9101093866187338,6.778548539943278e-10,3.77691397793624,6.09258844549544e-10,0.8078491352331557,-0.1331954086824938,-146140790.27168342,0.1331954086824938,2.3897079521660104e+16
512,3.9127105761772953,6.831448948018742e-10,3.779638583691558,6.095240835197648e-10,0.7960788501690631,-0.1330719924857373,-145348693.7224162,0.1330719924857373,2.3832059983097964e+16
