,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
103,60.0,0.89,0.0,0.11,3.1054676976306634
104,62.5,0.89,0.0,0.11,3.5214228777470904
105,65.0,0.89,0.0,0.11,3.9549659762839044
106,67.5,0.89,0.0,0.11,4.348476570984134
107,70.0,0.89,0.0,0.11,4.651678184909067
108,50.0,0.88,0.0,0.12,1.7668027468044658
109,52.5,0.88,0.0,0.12,1.98707211140517
110,55.0,0.88,0.0,0.12,2.279542675413484
111,57.5,0.88,0.0,0.12,2.5961013853351997
112,60.0,0.88,0.0,0.12,2.9678693612568554
113,62.5,0.88,0.0,0.12,3.380133486979027
114,65.0,0.88,0.0,0.12,3.8117494360502864
115,67.5,0.88,0.0,0.12,4.204925394138658
116,70.0,0.88,0.0,0.12,4.506159182790673
117,50.0,0.87,0.0,0.13,1.6522868361945602
118,52.5,0.87,0.0,0.13,1.8687611331127751
119,55.0,0.87,0.0,0.13,2.157688162462843
120,57.5,0.87,0.0,0.13,2.471337057016798
121,60.0,0.87,0.0,0.13,2.8399407518983075
122,62.5,0.87,0.0,0.13,3.248773212179199
123,65.0,0.87,0.0,0.13,3.678597442268412
124,67.5,0.87,0.0,0.13,4.071462280342434
125,70.0,0.87,0.0,0.13,4.370866532698816
126,50.0,0.86,0.0,0.14,1.5455453601646856
127,52.5,0.86,0.0,0.14,1.7584822348687517
128,55.0,0.86,0.0,0.14,2.044106298563083
129,57.5,0.86,0.0,0.14,2.355042923829073
130,60.0,0.86,0.0,0.14,2.7206971593123743
131,62.5,0.86,0.0,0.14,3.1263309284026177
132,65.0,0.86,0.0,0.14,3.5544850785200217
133,67.5,0.86,0.0,0.14,3.9470599183799493
134,70.0,0.86,0.0,0.14,4.244758840851549
135,50.0,0.85,0.0,0.15,1.4458126062614605
136,52.5,0.85,0.0,0.15,1.6554443284394529
137,55.0,0.85,0.0,0.15,1.9379823015797721
138,57.5,0.85,0.0,0.15,2.2463847471109406
139,60.0,0.85,0.0,0.15,2.609283186822519
140,62.5,0.85,0.0,0.15,3.011928293087556
141,65.0,0.85,0.0,0.15,3.4385220218858783
142,67.5,0.85,0.0,0.15,3.8308259050230227
143,70.0,0.85,0.0,0.15,4.126931470797161
144,50.0,0.84,0.0,0.16,1.352420220189488
145,52.5,0.84,0.0,0.16,1.5589569102073837
146,55.0,0.84,0.0,0.16,1.838604986606634
147,57.5,0.84,0.0,0.16,2.144634359271547
148,60.0,0.84,0.0,0.16,2.5049521990039123
149,62.5,0.84,0.0,0.16,2.904798642427521
150,65.0,0.84,0.0,0.16,3.329931151470483
151,67.5,0.84,0.0,0.16,3.721981303572836
152,70.0,0.84,0.0,0.16,4.016594808033057
153,50.0,0.83,0.0,0.17,1.2647822089960394
154,52.5,0.83,0.0,0.17,1.468414567360252
155,55.0,0.83,0.0,0.17,1.745350808099457
156,57.5,0.83,0.0,0.17,2.049153324859196
157,60.0,0.83,0.0,0.17,2.407049568363251
158,62.5,0.83,0.0,0.17,2.8042697886467427
159,65.0,0.83,0.0,0.17,3.228031111036623
160,67.5,0.83,0.0,0.17,3.619843165749996
161,70.0,0.83,0.0,0.17,3.9130565423022348
162,50.0,0.8200000000000001,0.0,0.18,1.1823826334957181
163,52.5,0.8200000000000001,0.0,0.18,1.3832842624408692
164,55.0,0.8200000000000001,0.0,0.18,1.6576707635844865
165,57.5,0.8200000000000001,0.0,0.18,1.959379531538409
166,60.0,0.8200000000000001,0.0,0.18,2.3149989262353534
167,62.5,0.8200000000000001,0.0,0.18,2.7097499020783005
168,65.0,0.8200000000000001,0.0,0.18,3.132221998519157
