true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
3.8799850298166936,0.0004995441270888469,3.769743664571225,0.00048398245864741924,-0.11024136524546879,0.0006955453652978783,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,90
3.8799850298166936,0.0004995441270888421,3.7723124716541556,0.00048423316182739684,-0.10767255816253796,0.0006957198357976515,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,85
3.8799850298166936,0.0004995441270888469,3.782253388504759,0.0004854366106138379,-0.09773164131193468,0.0006965579931586522,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,80
3.8799850298166936,0.0004995441270888469,3.7985320245940364,0.0004875075883508502,-0.0814530052226572,0.0006980028535820037,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,75
3.8799850298166936,0.0004995441270888469,3.822984650835733,0.0004906171647476787,-0.057000378980960775,0.0007001782182087707,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,70
3.8799850298166936,0.0004995441270888469,3.84796464227696,0.0004938610178677564,-0.0320203875397338,0.0007024550091488667,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,66
3.8799850298166936,0.0004995441270888469,3.888915263040539,0.0004990052184239903,0.008930233223845452,0.0007060811163905549,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,60
3.8799850298166936,0.0004995441270888469,3.913607961131172,0.0005019407051704881,0.033622931314478244,0.000708158743796901,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,55
3.8799850298166936,0.0004995441270888421,3.9295970312016095,0.000503687121134348,0.04961200138491595,0.0007093976676769952,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-06,0.01,50
3.8799850298166936,0.0004995441270888469,3.769743664571225,0.00048398876346158196,-0.11024136524546879,0.0006955497524016735,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,90
3.8799850298166936,0.0004995441270888469,3.7723124716541556,0.0004842394746779736,-0.10767255816253796,0.000695724229666725,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,85
3.8799850298166936,0.0004995441270888469,3.782253388504759,0.000485442951522659,-0.09773164131193468,0.0006965624122015117,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,80
3.8799850298166936,0.0004995441270888469,3.7985320245940364,0.00048751398912028635,-0.0814530052226572,0.0006980073240997781,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,75
3.8799850298166936,0.0004995441270888469,3.822984650835733,0.0004906236515342151,-0.057000378980960775,0.0007001827635365819,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,70
3.8799850298166936,0.0004995441270888469,3.84796464227696,0.000493867553652049,-0.0320203875397338,0.0007024596041476104,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,66
3.8799850298166936,0.0004995441270888469,3.888915263040539,0.0004990119079107673,0.008930233223845452,0.0007060858440343513,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,60
3.8799850298166936,0.0004995441270888469,3.913607961131172,0.0005019476247146895,0.033622931314478244,0.0007081636483650349,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,55
3.8799850298166936,0.0004995441270888421,3.9295970312016095,0.0005036943320467104,0.04961200138491595,0.0007094027875931522,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,1.5811388300841898e-05,0.03162277660168379,50
3.8799850298166936,0.0004995441270888469,3.769743664571225,0.0004840518070865695,-0.11024136524546879,0.000695593621917806,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,90
3.879985029816693,0.0004995441270888469,3.7723124716541565,0.00048430259865881494,-0.10767255816253662,0.0006957681668319119,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,85
3.8799850298166936,0.0004995441270888469,3.782253388504759,0.00048550635605605413,-0.09773164131193468,0.0006966066010882944,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,80
3.8799850298166936,0.0004995441270888469,3.7985320245940364,0.0004875779921931475,-0.0814530052226572,0.000698052027702849,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,75
3.8799850298166936,0.0004995441270888469,3.822984650835733,0.0004906885146831208,-0.057000378980960775,0.0007002282151919366,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,70
3.8799850298166936,0.0004995441270888421,3.84796464227696,0.0004939329067384163,-0.0320203875397338,0.0007025055524819818,3184000.0,0.0005,-100.0,63680.0,5e-06,0.01,254720.0,5e-05,0.1,66
