,latitude_min,latitude_max,greenland_error,west_antarctic_error,east_antarctic_error
610,-55.34434434434435,55.34434434434435,5.022537129742577,2.8178652900016794,0.3305995278128674
611,-55.433433433433436,55.433433433433436,5.022537129742577,2.8178652900016794,0.3305995278128674
612,-55.52252252252253,55.52252252252253,5.022537129742577,2.8178652900016794,0.3305995278128674
613,-55.611611611611615,55.611611611611615,5.022537129742577,2.8178652900016794,0.3305995278128674
614,-55.7007007007007,55.7007007007007,5.075126704984691,2.7863380062425436,0.2970293465018875
615,-55.78978978978979,55.78978978978979,5.075126704984691,2.7863380062425436,0.2970293465018875
616,-55.87887887887888,55.87887887887888,5.075126704984691,2.7863380062425436,0.2970293465018875
617,-55.96796796796797,55.96796796796797,5.075126704984691,2.7863380062425436,0.2970293465018875
618,-56.05705705705706,56.05705705705706,5.12833454351551,2.7536053452566676,0.26205134177403405
619,-56.14614614614615,56.14614614614615,5.12833454351551,2.7536053452566676,0.26205134177403405
620,-56.23523523523524,56.23523523523524,5.12833454351551,2.7536053452566676,0.26205134177403405
621,-56.32432432432433,56.32432432432433,5.12833454351551,2.7536053452566676,0.26205134177403405
622,-56.413413413413416,56.413413413413416,5.182379705125377,2.719868735330865,0.2258392853436333
623,-56.50250250250251,56.50250250250251,5.182379705125377,2.719868735330865,0.2258392853436333
624,-56.591591591591595,56.591591591591595,5.182379705125377,2.719868735330865,0.2258392853436333
625,-56.68068068068068,56.68068068068068,5.182379705125377,2.719868735330865,0.2258392853436333
626,-56.76976976976977,56.76976976976977,5.237727181463989,2.68470783057592,0.18811253383746468
627,-56.85885885885886,56.85885885885886,5.237727181463989,2.68470783057592,0.18811253383746468
628,-56.94794794794795,56.94794794794795,5.237727181463989,2.68470783057592,0.18811253383746468
629,-57.03703703703704,57.03703703703704,5.237727181463989,2.68470783057592,0.18811253383746468
630,-57.12612612612613,57.12612612612613,5.294333902902687,2.648908009998029,0.14984772510341074
631,-57.21521521521522,57.21521521521522,5.294333902902687,2.648908009998029,0.14984772510341074
632,-57.30430430430431,57.30430430430431,5.294333902902687,2.648908009998029,0.14984772510341074
633,-57.393393393393396,57.393393393393396,5.294333902902687,2.648908009998029,0.14984772510341074
634,-57.48248248248249,57.48248248248249,5.3522464502099005,2.611571557402148,0.1097248922534619
635,-57.571571571571575,57.571571571571575,5.3522464502099005,2.611571557402148,0.1097248922534619
636,-57.66066066066066,57.66066066066066,5.3522464502099005,2.611571557402148,0.1097248922534619
637,-57.74974974974975,57.74974974974975,5.3522464502099005,2.611571557402148,0.1097248922534619
638,-57.83883883883884,57.83883883883884,5.410804026597186,2.573566479652412,0.06904634764170102
639,-57.92792792792793,57.92792792792793,5.410804026597186,2.573566479652412,0.06904634764170102
640,-58.01701701701702,58.01701701701702,5.410804026597186,2.573566479652412,0.06904634764170102
641,-58.10610610610611,58.10610610610611,5.410804026597186,2.573566479652412,0.06904634764170102
642,-58.1951951951952,58.1951951951952,5.470320523127297,2.534659838515567,0.027312660258370137
