true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888421,0.0,0.0004861399465676456,0.0,0.0006970483358833494,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,80
0.0,0.0004995441270888421,0.0,0.00048821756144388074,0.0,0.000698498906377929,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,75
0.0,0.0004995441270888454,0.0,0.0004913366752171996,0.0,0.000700682569586577,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,70
0.0,0.0004995441270888469,0.0,0.0004945859626469438,0.0,0.0007029648706417428,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,66
0.0,0.0004995441270888469,0.0,0.0004997472047920123,0.0,0.0007066056917449699,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,60
0.0,0.0004995441270888469,0.0,0.0005027081931107025,0.0,0.0007087029436439399,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,55
0.0,0.0004995441270888469,0.0,0.0005044869031670873,0.0,0.0007099657529600116,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.00015811388300841897,0.31622776601683794,50
0.0,0.0004995441270888469,0.0,0.0004909371838443626,0.0,0.0007004024938490664,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,90
0.0,0.0004995441270888469,0.0,0.0004911967146755587,0.0,0.0007005844327538403,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,85
0.0,0.0004995441270888469,0.0,0.0004924310169237262,0.0,0.000701450384088207,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,80
0.0,0.0004995441270888469,0.0,0.0004945677664536996,0.0,0.000702952068439918,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,75
0.0,0.0004995441270888469,0.0,0.0004977718635374687,0.0,0.0007052100134275763,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,70
0.0,0.0004995441270888469,0.0,0.0005010697110488099,0.0,0.000707541652653394,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,66
0.0,0.0004995441270888469,0.0,0.0005063827515499478,0.0,0.0007113141542077271,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,60
0.0,0.0004995441270888421,0.0,0.0005095703848267555,0.0,0.000713586933737888,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,55
0.0,0.0004995441270888421,0.0,0.0005116357833865093,0.0,0.000715063290730604,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0005,1.0,50
0.0,0.0004995441270888469,0.0,0.0005495890329904691,0.0,0.0007426926955964741,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,90
0.0,0.0004995441270888421,0.0,0.0005499203976798663,0.0,0.0007429379373092584,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,85
