odt_length_scale /,odt_amplitude_95_range /,ice_length_scale /,ice_thickness_95_range /,net_ice_thickness_change /,gmsl_slc_expectation /,gmsl_slc_std /,gmsl_ssh_expectation /,gmsl_ssh_std /,gmsl_ssh_odt_expectation /,gmsl_ssh_odt_std /,lmax /
0.009995291163082719,0.01,0.09995291163082719,100.0,-200.0,9388.311904561837,2950.397251367288,-7393.6640065742295,1474.409416137101,-7393.6640065742295,1475.6330290556105,128.0
0.009995291163082719,0.1,0.09995291163082719,100.0,-200.0,9388.311904561837,2950.3935746282755,-7393.664006574319,1474.4121169549867,-7393.664006574319,1592.1250250141923,128.0
0.009995291163082719,10.0,0.09995291163082719,100.0,-200.0,9388.311904561793,2913.0218148424988,-7393.6640065742295,1501.4426121951587,-7393.6640065742295,60099.62043516087,128.0
0.4997645581541359,0.01,0.09995291163082719,100.0,-200.0,9388.311904561926,2950.3972513663084,-7393.664006574274,1474.409416137506,-7393.664006574274,1475.6330290560707,128.0
0.4997645581541359,0.1,0.09995291163082719,100.0,-200.0,9388.311904561926,2950.393574628826,-7393.664006574274,1474.4121169588518,-7393.664006574274,1592.1250250183057,128.0
0.4997645581541359,10.0,0.09995291163082719,100.0,-200.0,9388.311904561926,2913.0218148390527,-7393.664006574274,1501.4426121928059,-7393.664006574274,60099.62043527274,128.0
0.009995291163082719,0.01,0.09995291163082719,100.0,200.0,-9388.311904561926,2950.397251366367,7393.664006574274,1474.4094161375879,7393.664006574274,1475.6330290560852,128.0
0.009995291163082719,0.1,0.09995291163082719,100.0,200.0,-9388.311904561926,2950.393574628873,7393.664006574274,1474.4121169589332,7393.664006574274,1592.1250250179198,128.0
0.009995291163082719,10.0,0.09995291163082719,100.0,200.0,-9388.311904561926,2913.0218148392237,7393.664006574274,1501.4426121927545,7393.664006574274,60099.6204351607,128.0
0.4997645581541359,0.01,0.09995291163082719,100.0,200.0,-9388.311904561926,2950.3972513663643,7393.664006574274,1474.409416137585,7393.664006574274,1475.6330290560998,128.0
0.4997645581541359,0.1,0.09995291163082719,100.0,200.0,-9388.311904561926,2950.39357462887,7393.664006574274,1474.4121169589332,7393.664006574274,1592.1250250183516,128.0
