,latitude_min,latitude_max,greenland_error,west_antarctic_error,east_antarctic_error
0,-1.0,1.0,1.8538178787868236,3.0564359601793587,1.599461374828048
1,-1.0890890890890892,1.0890890890890892,1.8501297154096612,3.0612358592650972,1.5997273864368964
2,-1.1781781781781782,1.1781781781781782,1.8501297154096612,3.0612358592650972,1.5997273864368964
3,-1.2672672672672673,1.2672672672672673,1.8501297154096612,3.0612358592650972,1.5997273864368964
4,-1.3563563563563563,1.3563563563563563,1.8501297154096612,3.0612358592650972,1.5997273864368964
5,-1.4454454454454455,1.4454454454454455,1.843815377514735,3.065625041715164,1.597473559326814
6,-1.5345345345345347,1.5345345345345347,1.843815377514735,3.065625041715164,1.597473559326814
7,-1.6236236236236237,1.6236236236236237,1.843815377514735,3.065625041715164,1.597473559326814
8,-1.7127127127127126,1.7127127127127126,1.843815377514735,3.065625041715164,1.597473559326814
9,-1.8018018018018018,1.8018018018018018,1.8373600636042502,3.070392877368622,1.5956037047313232
10,-1.890890890890891,1.890890890890891,1.8373600636042502,3.070392877368622,1.5956037047313232
11,-1.97997997997998,1.97997997997998,1.8373600636042502,3.070392877368622,1.5956037047313232
12,-2.0690690690690694,2.0690690690690694,1.8373600636042502,3.070392877368622,1.5956037047313232
13,-2.158158158158158,2.158158158158158,1.8298265300928407,3.07509024675892,1.591615321744374
14,-2.2472472472472473,2.2472472472472473,1.8298265300928407,3.07509024675892,1.591615321744374
15,-2.3363363363363363,2.3363363363363363,1.8298265300928407,3.07509024675892,1.591615321744374
16,-2.4254254254254253,2.4254254254254253,1.8298265300928407,3.07509024675892,1.591615321744374
17,-2.5145145145145147,2.5145145145145147,1.8271154123575173,3.0729778941560033,1.5893546016284366
18,-2.6036036036036037,2.6036036036036037,1.8271154123575173,3.0729778941560033,1.5893546016284366
19,-2.6926926926926926,2.6926926926926926,1.8271154123575173,3.0729778941560033,1.5893546016284366
20,-2.781781781781782,2.781781781781782,1.8271154123575173,3.0729778941560033,1.5893546016284366
21,-2.870870870870871,2.870870870870871,1.8248722963222952,3.0728292248037548,1.5881925821433087
22,-2.95995995995996,2.95995995995996,1.8248722963222952,3.0728292248037548,1.5881925821433087
23,-3.049049049049049,3.049049049049049,1.8248722963222952,3.0728292248037548,1.5881925821433087
24,-3.1381381381381384,3.1381381381381384,1.8248722963222952,3.0728292248037548,1.5881925821433087
25,-3.2272272272272273,3.2272272272272273,1.8226240392510178,3.071755063021176,1.5859015763835569
26,-3.3163163163163163,3.3163163163163163,1.8226240392510178,3.071755063021176,1.5859015763835569
27,-3.4054054054054057,3.4054054054054057,1.8226240392510178,3.071755063021176,1.5859015763835569
28,-3.4944944944944947,3.4944944944944947,1.8226240392510178,3.071755063021176,1.5859015763835569
29,-3.5835835835835836,3.5835835835835836,1.8278022571169905,3.0672606989960536,1.585602670753548
30,-3.6726726726726726,3.6726726726726726,1.8278022571169905,3.0672606989960536,1.585602670753548
31,-3.761761761761762,3.761761761761762,1.8278022571169905,3.0672606989960536,1.585602670753548
32,-3.850850850850851,3.850850850850851,1.8278022571169905,3.0672606989960536,1.585602670753548
33,-3.93993993993994,3.93993993993994,1.8349802262104487,3.0616270007408293,1.5853005098549047
34,-4.029029029029029,4.029029029029029,1.8349802262104487,3.0616270007408293,1.5853005098549047
35,-4.118118118118119,4.118118118118119,1.8349802262104487,3.0616270007408293,1.5853005098549047
36,-4.207207207207207,4.207207207207207,1.844031771401733,3.0553717555053383,1.5853331543545068
37,-4.296296296296296,4.296296296296296,1.844031771401733,3.0553717555053383,1.5853331543545068
38,-4.385385385385385,4.385385385385385,1.844031771401733,3.0553717555053383,1.5853331543545068
39,-4.474474474474475,4.474474474474475,1.844031771401733,3.0553717555053383,1.5853331543545068
40,-4.563563563563564,4.563563563563564,1.8540072473673406,3.054011080924925,1.5855954374400647
41,-4.6526526526526535,4.6526526526526535,1.8540072473673406,3.054011080924925,1.5855954374400647
42,-4.741741741741742,4.741741741741742,1.8540072473673406,3.054011080924925,1.5855954374400647
43,-4.8308308308308305,4.8308308308308305,1.8540072473673406,3.054011080924925,1.5855954374400647
44,-4.91991991991992,4.91991991991992,1.8641807988716286,3.0503687357739846,1.5859649013979613
45,-5.009009009009009,5.009009009009009,1.8641807988716286,3.0503687357739846,1.5859649013979613
46,-5.098098098098098,5.098098098098098,1.8641807988716286,3.0503687357739846,1.5859649013979613
47,-5.187187187187187,5.187187187187187,1.8641807988716286,3.0503687357739846,1.5859649013979613
48,-5.276276276276277,5.276276276276277,1.8739293104415249,3.045950700943964,1.5859544257848113
49,-5.365365365365365,5.365365365365365,1.8739293104415249,3.045950700943964,1.5859544257848113
50,-5.454454454454455,5.454454454454455,1.8739293104415249,3.045950700943964,1.5859544257848113
51,-5.543543543543544,5.543543543543544,1.8739293104415249,3.045950700943964,1.5859544257848113
52,-5.632632632632633,5.632632632632633,1.8885945852391077,3.0449751654997463,1.5867079137922766
53,-5.721721721721722,5.721721721721722,1.8885945852391077,3.0449751654997463,1.5867079137922766
54,-5.810810810810811,5.810810810810811,1.8885945852391077,3.0449751654997463,1.5867079137922766
55,-5.8998998998999,5.8998998998999,1.8885945852391077,3.0449751654997463,1.5867079137922766
56,-5.988988988988989,5.988988988988989,1.9017376268162984,3.04329393735507,1.5856859305665203
57,-6.078078078078079,6.078078078078079,1.9017376268162984,3.04329393735507,1.5856859305665203
58,-6.167167167167167,6.167167167167167,1.9017376268162984,3.04329393735507,1.5856859305665203
59,-6.256256256256257,6.256256256256257,1.9017376268162984,3.04329393735507,1.5856859305665203
