,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
79,10.0,0.23999999999999994,0.7000000000000001,0.059999999999999984,1.5991625350594105
80,10.0,0.20999999999999996,0.7000000000000001,0.08999999999999997,1.6670578405041199
81,10.0,0.17999999999999997,0.7000000000000001,0.11999999999999997,1.7193729453370488
82,10.0,0.14999999999999997,0.7000000000000001,0.14999999999999997,1.760918737113621
83,10.0,0.12,0.7000000000000001,0.17999999999999994,1.794710256996145
84,10.0,0.09,0.7000000000000001,0.20999999999999994,1.822733134344705
85,10.0,0.06,0.7000000000000001,0.23999999999999994,1.8463483701197307
86,10.0,0.030000000000000027,0.7000000000000001,0.2699999999999999,1.8665200443616876
87,10.0,0.0,0.7000000000000001,0.29999999999999993,1.8839501802948528
88,10.0,0.19999999999999996,0.8,0.0,1.917751705191153
89,10.0,0.17999999999999997,0.8,0.019999999999999997,1.9434751563697608
90,10.0,0.15999999999999998,0.8,0.039999999999999994,1.9634693033157835
91,10.0,0.13999999999999996,0.8,0.05999999999999999,1.9794564495334648
92,10.0,0.11999999999999997,0.8,0.07999999999999999,1.9925314431179442
93,10.0,0.09999999999999998,0.8,0.09999999999999998,2.0034235615530447
94,10.0,0.07999999999999997,0.8,0.11999999999999998,2.012637336699737
95,10.0,0.05999999999999997,0.8,0.13999999999999999,2.0205329381780577
96,10.0,0.03999999999999998,0.8,0.15999999999999998,2.027374359623842
97,10.0,0.01999999999999999,0.8,0.17999999999999997,2.0333595120388424
98,10.0,0.0,0.8,0.19999999999999996,2.0386396832026703
99,10.0,0.09999999999999998,0.9,0.0,2.4732487414540434
100,10.0,0.08999999999999998,0.9,0.009999999999999998,2.449538889252808
101,10.0,0.07999999999999999,0.9,0.019999999999999997,2.4288356761156367
102,10.0,0.06999999999999998,0.9,0.029999999999999995,2.4106012951439273
103,10.0,0.059999999999999984,0.9,0.039999999999999994,2.3944189876122897
104,10.0,0.04999999999999999,0.9,0.04999999999999999,2.3799608007107285
105,10.0,0.03999999999999999,0.9,0.05999999999999999,2.3669651296697496
106,10.0,0.029999999999999985,0.9,0.06999999999999999,2.355220746956073
107,10.0,0.01999999999999999,0.9,0.07999999999999999,2.3445552328230814
108,10.0,0.009999999999999995,0.9,0.08999999999999998,2.334826454241399
109,10.0,0.0,0.9,0.09999999999999998,2.3259161945594866
110,10.0,0.0,1.0,0.0,3.044084757658575
111,10.0,0.0,1.0,0.0,3.044084757658575
112,10.0,0.0,1.0,0.0,3.044084757658575
113,10.0,0.0,1.0,0.0,3.044084757658575
114,10.0,0.0,1.0,0.0,3.044084757658575
115,10.0,0.0,1.0,0.0,3.044084757658575
116,10.0,0.0,1.0,0.0,3.044084757658575
117,10.0,0.0,1.0,0.0,3.044084757658575
118,10.0,0.0,1.0,0.0,3.044084757658575
119,10.0,0.0,1.0,0.0,3.044084757658575
120,10.0,0.0,1.0,0.0,3.044084757658575
121,20.0,1.0,0.0,0.0,2.2032028614837884
122,20.0,0.9,0.0,0.1,0.6060155833781348
123,20.0,0.8,0.0,0.2,0.09028027798944843
124,20.0,0.7,0.0,0.30000000000000004,0.48026720515101434
125,20.0,0.6,0.0,0.4,0.72961595701896
126,20.0,0.5,0.0,0.5,0.9027807087950029
127,20.0,0.3999999999999999,0.0,0.6000000000000001,1.0300494511243352
128,20.0,0.29999999999999993,0.0,0.7000000000000001,1.1275336577381405
129,20.0,0.19999999999999996,0.0,0.8,1.204593685951957
130,20.0,0.09999999999999998,0.0,0.9,1.267039583272501
131,20.0,0.0,0.0,1.0,1.3186685556807474
132,20.0,0.9,0.1,0.0,1.731588575880322
133,20.0,0.81,0.1,0.09,0.3986625822254068
134,20.0,0.72,0.1,0.18,0.21314359740901948
135,20.0,0.63,0.1,0.27,0.5644398964522926
136,20.0,0.54,0.1,0.36,0.7924071705941403
137,20.0,0.45000000000000007,0.1,0.44999999999999996,0.9522929686083186
138,20.0,0.36,0.1,0.54,1.070633238876946
139,20.0,0.27,0.1,0.63,1.1617591389518473
140,20.0,0.18000000000000005,0.1,0.72,1.2340901788150902
141,20.0,0.09000000000000008,0.1,0.8099999999999999,1.292897474680374
142,20.0,0.0,0.1,0.9,1.3416495734897
143,20.0,0.8,0.2,0.0,1.248246889125038
144,20.0,0.7200000000000001,0.2,0.08,0.16997562624203508
145,20.0,0.64,0.2,0.16,0.35329974752182247
146,20.0,0.56,0.2,0.24,0.6623420479455215
147,20.0,0.48000000000000004,0.2,0.32,0.8663672933514243
148,20.0,0.4,0.2,0.4,1.0111308008038848
149,20.0,0.32000000000000006,0.2,0.48,1.1191782263059449
150,20.0,0.24,0.2,0.56,1.2029058843248734
151,20.0,0.16000000000000003,0.2,0.64,1.269694163301517
152,20.0,0.08000000000000007,0.2,0.72,1.3242114604835684
153,20.0,0.0,0.2,0.8,1.3695550580288154
154,20.0,0.7,0.30000000000000004,0.0,0.752734864776507
155,20.0,0.63,0.30000000000000004,0.06999999999999999,0.08351633162512548
156,20.0,0.5599999999999999,0.30000000000000004,0.13999999999999999,0.5146205611841412
157,20.0,0.49,0.30000000000000004,0.20999999999999996,0.7776310722868606
158,20.0,0.42,0.30000000000000004,0.27999999999999997,0.9547672114904571
159,20.0,0.35,0.30000000000000004,0.35,1.0822028114332671
160,20.0,0.28,0.30000000000000004,0.41999999999999993,1.1782817568627963
161,20.0,0.21000000000000002,0.30000000000000004,0.48999999999999994,1.2533095414669786
162,20.0,0.14,0.30000000000000004,0.5599999999999999,1.3135216140025887
163,20.0,0.07000000000000006,0.30000000000000004,0.6299999999999999,1.3629120962307162
164,20.0,0.0,0.30000000000000004,0.7,1.4041578023678976
165,20.0,0.6,0.4,0.0,0.24458697608484833
166,20.0,0.54,0.4,0.06,0.36608050594537633
167,20.0,0.48,0.4,0.12,0.7024863118652812
168,20.0,0.42,0.4,0.18,0.9153900493166972
169,20.0,0.36,0.4,0.24,1.0622931773526103
170,20.0,0.3,0.4,0.3,1.1697675270314656
171,20.0,0.24,0.4,0.36,1.2518088827285465
172,20.0,0.18,0.4,0.42,1.3164898706147365
173,20.0,0.12,0.4,0.48,1.3687935802382376
174,20.0,0.05999999999999994,0.4,0.54,1.4119625223255565
175,20.0,0.0,0.4,0.6,1.4481975683466553
176,20.0,0.5,0.5,0.0,0.2766863527755196
177,20.0,0.45,0.5,0.05,0.6830224402163073
178,20.0,0.4,0.5,0.1,0.9236549348219881
179,20.0,0.35,0.5,0.15000000000000002,1.08277750200555
180,20.0,0.3,0.5,0.2,1.1959052387341345
181,20.0,0.25,0.5,0.25,1.2803193320241038
182,20.0,0.19999999999999996,0.5,0.30000000000000004,1.3457732815162307
