load_radius,satellite_range,latitude,error
0.2,5.81,-85.14,0.7588124592102468
0.2,7.01,-85.14,0.7492865452130781
0.2,8.22,-85.14,0.7430400152283233
0.2,9.42,-85.14,0.7412292121284346
0.2,10.62,-85.14,0.7362347508603907
0.2,11.82,-85.14,0.7291151248830567
0.2,13.03,-85.14,0.7107418311630221
0.2,14.23,-85.14,0.7006684628969945
0.2,15.43,-85.14,0.6874686429935633
0.2,16.64,-85.14,0.6716499471887502
0.2,17.84,-85.14,0.6617824030207582
0.2,19.04,-85.14,0.651165901833212
0.2,20.24,-85.14,0.6462297513714974
0.2,21.45,-85.14,0.6374703360218043
0.2,22.65,-85.14,0.6356665992966611
0.2,23.85,-85.14,0.6392974246473887
0.2,25.05,-85.14,0.6399073205968443
0.2,26.26,-85.14,0.6435730694206317
0.2,27.46,-85.14,0.6559721216588988
0.2,28.66,-85.14,0.6670462868859854
0.2,29.86,-85.14,0.6806203734219461
0.2,31.07,-85.14,0.6939336680663247
0.2,32.27,-85.14,0.6990922868684523
0.2,33.47,-85.14,0.6988090103819039
0.2,34.68,-85.14,0.7024737223256791
0.2,35.88,-85.14,0.7056865344682468
0.2,37.08,-85.14,0.7066759924915976
0.2,38.28,-85.14,0.7053050479571971
0.2,39.49,-85.14,0.7028044227242323
0.2,40.69,-85.14,0.7018989701698308
0.2,41.89,-85.14,0.6965124942692479
0.2,43.09,-85.14,0.6824787795275096
0.2,44.3,-85.14,0.6715505394663327
0.2,45.5,-85.14,0.6628500184962937
0.2,46.7,-85.14,0.6469710296541523
0.2,47.91,-85.14,0.6317866153165754
0.2,49.11,-85.14,0.6051146731346589
0.2,50.31,-85.14,0.5746262715933611
0.2,51.51,-85.14,0.5301957748935346
0.2,52.72,-85.14,0.4894265648744781
0.2,53.92,-85.14,0.4418808042328461
0.2,55.12,-85.14,0.36026266895239545
0.2,56.32,-85.14,0.287787544063033
0.2,57.53,-85.14,0.17565153052649732
0.2,58.73,-85.14,0.08099440932702537
0.2,59.93,-85.14,0.048583000516112654
0.2,61.14,-85.14,0.1490494935515933
0.2,62.34,-85.14,0.2899253633834454
0.2,63.54,-85.14,0.402156740863024
0.2,64.74,-85.14,0.5185568616185002
0.2,65.95,-85.14,0.6855737921644918
0.2,67.15,-85.14,0.811961331205435
0.2,68.35,-85.14,0.9769777276973233
0.2,69.55,-85.14,1.106332177646284
0.2,70.76,-85.14,1.2887181511278238
0.2,71.96,-85.14,1.423854813650083
0.2,73.16,-85.14,1.5662021604722713
0.2,74.36,-85.14,1.74312432844818
0.2,75.57,-85.14,1.8639566256798328
0.2,76.77,-85.14,2.0110834860178834
0.2,77.97,-85.14,2.1169203651487787
0.2,79.18,-85.14,2.2557099814292862
0.2,80.38,-85.14,2.3641244072439207
0.2,81.58,-85.14,2.4779689046144124
0.2,82.78,-85.14,2.5979306008702356
0.2,83.99,-85.14,2.6681326333300706
0.2,85.19,-85.14,2.711899256797599
0.2,86.39,-85.14,2.7304162528708114
0.2,87.59,-85.14,2.745775439189126
0.2,88.8,-85.14,2.7523944772138846
0.2,90.0,-85.14,2.755230046338992
0.2,1.0,-82.7,1.5434399399091219
0.2,2.2,-82.7,1.5367496880143257
0.2,3.41,-82.7,1.520675443781025
0.2,4.61,-82.7,1.513734292074424
0.2,5.81,-82.7,1.5101128761767897
0.2,7.01,-82.7,1.5017368767841905
0.2,8.22,-82.7,1.5046324307679513
0.2,9.42,-82.7,1.5030211444572155
0.2,10.62,-82.7,1.4971846205226478
0.2,11.82,-82.7,1.4828627183923346
0.2,13.03,-82.7,1.4644456467504336
0.2,14.23,-82.7,1.4535013199617002
0.2,15.43,-82.7,1.4400521045299546
0.2,16.64,-82.7,1.4283741920369704
0.2,17.84,-82.7,1.41869892996755
0.2,19.04,-82.7,1.407343022982733
0.2,20.24,-82.7,1.3981980317389473
0.2,21.45,-82.7,1.3888781032106026
0.2,22.65,-82.7,1.3857667467267656
0.2,23.85,-82.7,1.3886522720170265
0.2,25.05,-82.7,1.3915478371297259
0.2,26.26,-82.7,1.395395567325261
0.2,27.46,-82.7,1.406720038637222
0.2,28.66,-82.7,1.4142960599064003
0.2,29.86,-82.7,1.4267208902879331
0.2,31.07,-82.7,1.4379077051168863
0.2,32.27,-82.7,1.4415173065673246
0.2,33.47,-82.7,1.4424412049623219
0.2,34.68,-82.7,1.4440857406885974
0.2,35.88,-82.7,1.4470378721316437
0.2,37.08,-82.7,1.443848604802733
0.2,38.28,-82.7,1.440146644951361
0.2,39.49,-82.7,1.4343165721270426
0.2,40.69,-82.7,1.4306824032575076
0.2,41.89,-82.7,1.4254352541432767
0.2,43.09,-82.7,1.408238547296462
0.2,44.3,-82.7,1.3963062719459924
0.2,45.5,-82.7,1.3828172073926972
0.2,46.7,-82.7,1.3632659745971032
0.2,47.91,-82.7,1.3435478929417617
0.2,49.11,-82.7,1.3126423962182314
0.2,50.31,-82.7,1.2808966834022464
0.2,51.51,-82.7,1.2316398085195708
0.2,52.72,-82.7,1.1887000819118492
0.2,53.92,-82.7,1.134997670005818
0.2,55.12,-82.7,1.0476256355289655
0.2,56.32,-82.7,0.9687117203315684
0.2,57.53,-82.7,0.8499018184351067
0.2,58.73,-82.7,0.7520821941588792
0.2,59.93,-82.7,0.614831297574246
0.2,61.14,-82.7,0.5101100631729373
0.2,62.34,-82.7,0.36040787427474835
0.2,63.54,-82.7,0.23887363151717042
0.2,64.74,-82.7,0.112767399081504
0.2,65.95,-82.7,0.06528900849039725
0.2,67.15,-82.7,0.19755411644176316
0.2,68.35,-82.7,0.3727884357116517
0.2,69.55,-82.7,0.5082717288996553
0.2,70.76,-82.7,0.7008509165696817
0.2,71.96,-82.7,0.8442880284825971
0.2,73.16,-82.7,0.9952892142677036
0.2,74.36,-82.7,1.1814262705735807
0.2,75.57,-82.7,1.3077554167068992
0.2,76.77,-82.7,1.4643442762091907
0.2,77.97,-82.7,1.5773336853884607
0.2,79.18,-82.7,1.7296236741939623
0.2,80.38,-82.7,1.8543036840818514
0.2,81.58,-82.7,1.9936438322462031
0.2,82.78,-82.7,2.1674362689088427
0.2,83.99,-82.7,2.2488216449217866
0.2,85.19,-82.7,2.2866817266611514
0.2,86.39,-82.7,2.303706836571059
0.2,87.59,-82.7,2.3188035484553704
0.2,88.8,-82.7,2.325402269033394
0.2,90.0,-82.7,2.3280968534775477
0.2,1.0,-80.27,2.3431852895350436
0.2,2.2,-80.27,2.3364607854366013
0.2,3.41,-80.27,2.320253318544779
0.2,4.61,-80.27,2.3130948833940206
0.2,5.81,-80.27,2.3094225548974165
0.2,7.01,-80.27,2.3007652381308468
0.2,8.22,-80.27,2.3034757738947844
0.2,9.42,-80.27,2.3013576567040834
0.2,10.62,-80.27,2.2950121646023396
0.2,11.82,-80.27,2.2802579050421223
0.2,13.03,-80.27,2.2612677260869107
0.2,14.23,-80.27,2.2500325563859684
0.2,15.43,-80.27,2.235907530841503
0.2,16.64,-80.27,2.223724553045941
0.2,17.84,-80.27,2.213285792850619
0.2,19.04,-80.27,2.2010584593813447
0.2,20.24,-80.27,2.191165198741211
0.2,21.45,-80.27,2.180846059164987
0.2,22.65,-80.27,2.1771330740726396
0.2,23.85,-80.27,2.1788769688043574
0.2,25.05,-80.27,2.1808776428517653
0.2,26.26,-80.27,2.183469206329338
0.2,27.46,-80.27,2.1932777827881806
0.2,28.66,-80.27,2.19954652150254
0.2,29.86,-80.27,2.21016860315447
0.2,31.07,-80.27,2.2201011877733583
0.2,32.27,-80.27,2.221524936718265
0.2,33.47,-80.27,2.220711366841064
0.2,34.68,-80.27,2.2196435120559133
0.2,35.88,-80.27,2.2200434045131194
0.2,37.08,-80.27,2.2143371039453394
0.2,38.28,-80.27,2.2072452743016346
0.2,39.49,-80.27,2.1989688663651075
0.2,40.69,-80.27,2.191401839022134
0.2,41.89,-80.27,2.1831864948412476
0.2,43.09,-80.27,2.1615970114722187
0.2,44.3,-80.27,2.1458187097004657
0.2,45.5,-80.27,2.12844355423486
0.2,46.7,-80.27,2.1035966159580775
0.2,47.91,-80.27,2.08002600580292
0.2,49.11,-80.27,2.0431267770215533
0.2,50.31,-80.27,2.0068529812407196
0.2,51.51,-80.27,1.950822989436325
0.2,52.72,-80.27,1.9020408569441454
0.2,53.92,-80.27,1.8423504920793503
0.2,55.12,-80.27,1.7468488099953259
0.2,56.32,-80.27,1.6618336886154765
0.2,57.53,-80.27,1.533687834021242
0.2,58.73,-80.27,1.4287628202911964
0.2,59.93,-80.27,1.2807935475648489
0.2,61.14,-80.27,1.1667873533103
0.2,62.34,-80.27,1.004467940093927
0.2,63.54,-80.27,0.8721589307894871
0.2,64.74,-80.27,0.735693148060203
0.2,65.95,-80.27,0.5416430526738656
0.2,67.15,-80.27,0.3981204390424199
0.2,68.35,-80.27,0.2077958215579367
0.2,69.55,-80.27,0.06033552619829648
0.2,70.76,-80.27,0.14720364449713286
0.2,71.96,-80.27,0.3018338465072337
0.2,73.16,-80.27,0.46418399393726695
0.2,74.36,-80.27,0.6653827240998162
0.2,75.57,-80.27,0.8025696225325155
0.2,76.77,-80.27,0.9763340659396437
0.2,77.97,-80.27,1.1055559757342084
0.2,79.18,-80.27,1.2924916524241332
0.2,80.38,-80.27,1.4968092445938261
0.2,81.58,-80.27,1.6640657348398016
0.2,82.78,-80.27,1.7766457724280122
0.2,83.99,-80.27,1.8266684169701013
0.2,85.19,-80.27,1.8594648285921378
0.2,86.39,-80.27,1.8757931798505705
0.2,87.59,-80.27,1.8905549808629927
0.2,88.8,-80.27,1.8970022904939265
0.2,90.0,-80.27,1.8996416338426625
0.2,1.0,-77.84,2.91007159435777
0.2,2.2,-77.84,2.922390412749511
0.2,3.41,-77.84,2.9260621823771
0.2,4.61,-77.84,2.9161750907928647
0.2,5.81,-77.84,2.911479539945756
0.2,7.01,-77.84,2.9014861358910267
0.2,8.22,-77.84,2.8969075385864516
0.2,9.42,-77.84,2.894039370799941
0.2,10.62,-77.84,2.8874076898559067
0.2,11.82,-77.84,2.877302731737806
0.2,13.03,-77.84,2.8573145703208263
0.2,14.23,-77.84,2.8458896514369783
0.2,15.43,-77.84,2.830719314841214
