,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
0,1,1.0,0.0,0.0,1.8538178787868465
1,1,0.9,0.0,0.1,0.287824042254637
2,1,0.8,0.0,0.2,0.39499543463717596
3,1,0.7,0.0,0.30000000000000004,0.7773875328169737
4,1,0.6,0.0,0.4,1.021880324150414
5,1,0.5,0.0,0.5,1.1916727662826856
6,1,0.3999999999999999,0.0,0.6000000000000001,1.316463004166334
7,1,0.29999999999999993,0.0,0.7000000000000001,1.4120487474572085
8,1,0.19999999999999996,0.0,0.8,1.4876080645064624
9,1,0.09999999999999998,0.0,0.9,1.548837854625113
10,1,0.9,0.1,0.0,1.4170631276466452
11,1,0.8,0.1,0.1,0.01226888206260308
12,1,0.7,0.1,0.2,0.5960679461023652
13,1,0.6,0.1,0.30000000000000004,0.935629928751003
14,1,0.5,0.1,0.4,1.1523226093418242
15,1,0.4,0.1,0.5,1.3026185269945918
16,1,0.29999999999999993,0.1,0.6000000000000001,1.412980393654542
17,1,0.19999999999999996,0.1,0.7000000000000001,1.4974576119621301
18,1,0.09999999999999998,0.1,0.8,1.564200939192278
19,1,0.8,0.2,0.0,0.9694478103023042
20,1,0.7000000000000001,0.2,0.1,0.2674067693007876
21,1,0.6000000000000001,0.2,0.2,0.7992901848067437
22,1,0.5,0.2,0.30000000000000004,1.0951888874689242
23,1,0.4,0.2,0.4,1.2836531440711376
24,1,0.30000000000000004,0.2,0.5,1.414203697314283
25,1,0.19999999999999996,0.2,0.6000000000000001,1.5099799543832766
26,1,0.09999999999999998,0.2,0.7000000000000001,1.5832430055566664
27,1,0.7,0.30000000000000004,0.0,0.5105617301141558
28,1,0.6,0.30000000000000004,0.1,0.5512960311948061
29,1,0.49999999999999994,0.30000000000000004,0.2,1.004696811112008
30,1,0.3999999999999999,0.30000000000000004,0.30000000000000004,1.2560809081358841
31,1,0.29999999999999993,0.30000000000000004,0.4,1.415881032166148
32,1,0.19999999999999996,0.30000000000000004,0.5,1.526433820844944
33,1,0.09999999999999987,0.30000000000000004,0.6000000000000001,1.607465308569372
34,1,0.6,0.4,0.0,0.03997376990433051
35,1,0.5,0.4,0.1,0.8394948501601652
36,1,0.39999999999999997,0.4,0.2,1.2123232345179236
37,1,0.29999999999999993,0.4,0.30000000000000004,1.4183227667636504
38,1,0.19999999999999996,0.4,0.4,1.5490155022899517
39,1,0.09999999999999998,0.4,0.5,1.6393145054588303
40,1,0.5,0.5,0.0,0.4427694589848348
41,1,0.4,0.5,0.1,1.1321021080337432
42,1,0.3,0.5,0.2,1.4222056340119977
43,1,0.19999999999999996,0.5,0.30000000000000004,1.5819315220417116
44,1,0.09999999999999998,0.5,0.4,1.6830659100885739
45,1,0.3999999999999999,0.6000000000000001,0.0,0.9381450736863548
46,1,0.29999999999999993,0.6000000000000001,0.1,1.4292197350632536
47,1,0.1999999999999999,0.6000000000000001,0.2,1.6342396562867487
48,1,0.09999999999999987,0.6000000000000001,0.30000000000000004,1.7469245213162903
49,1,0.29999999999999993,0.7000000000000001,0.0,1.4466554927007338
50,1,0.19999999999999993,0.7000000000000001,0.1,1.7309528282937479
51,1,0.09999999999999992,0.7000000000000001,0.2,1.8487352148571365
52,1,0.19999999999999996,0.8,0.0,1.968830135583217
53,1,0.09999999999999995,0.8,0.1,2.037409775513487
54,1,0.09999999999999998,0.9,0.0,2.5052272615149005
55,6,1.0,0.0,0.0,1.9017376268162864
56,6,0.9,0.0,0.1,0.32024553421925456
57,6,0.8,0.0,0.2,0.36930472166974576
58,6,0.7,0.0,0.30000000000000004,0.7554796620609884
59,6,0.6,0.0,0.4,1.0023911164783879
60,6,0.5,0.0,0.5,1.173863242946047
61,6,0.3999999999999999,0.0,0.6000000000000001,1.299887977519606
62,6,0.29999999999999993,0.0,0.7000000000000001,1.3964193098701234
63,6,0.19999999999999996,0.0,0.8,1.4727261030710987
64,6,0.09999999999999998,0.0,0.9,1.5345616134328506
65,6,0.9,0.1,0.0,1.461889484333122
66,6,0.8,0.1,0.1,0.04270600268493503
67,6,0.7,0.1,0.2,0.5718382829796829
68,6,0.6,0.1,0.30000000000000004,0.9148760525075873
69,6,0.5,0.1,0.4,1.1337868187926645
70,6,0.4,0.1,0.5,1.285621178925096
71,6,0.29999999999999993,0.1,0.6000000000000001,1.3971127195406132
72,6,0.19999999999999996,0.1,0.7000000000000001,1.4824546542239656
73,6,0.09999999999999998,0.1,0.8,1.549881172131911
74,6,0.8,0.2,0.0,1.0111038538004076
75,6,0.7000000000000001,0.2,0.1,0.2389836931525776
76,6,0.6000000000000001,0.2,0.2,0.7765371920560405
77,6,0.5,0.2,0.30000000000000004,1.0755986068706087
78,6,0.4,0.2,0.4,1.2660772629591983
79,6,0.30000000000000004,0.2,0.5,1.3980232052916257
80,6,0.19999999999999996,0.2,0.6000000000000001,1.494823166518253
81,6,0.09999999999999998,0.2,0.7000000000000001,1.5688692895340886
82,6,0.7,0.30000000000000004,0.0,0.5489676332894118
83,6,0.6,0.30000000000000004,0.1,0.5249173432383928
84,6,0.49999999999999994,0.30000000000000004,0.2,0.9834363611125655
85,6,0.3999999999999999,0.30000000000000004,0.30000000000000004,1.237663944636724
86,6,0.29999999999999993,0.30000000000000004,0.4,1.3992716193465775
87,6,0.19999999999999996,0.30000000000000004,0.5,1.5110749062306983
88,6,0.09999999999999987,0.30000000000000004,0.6000000000000001,1.5930229672156133
89,6,0.6,0.4,0.0,0.07504665216012063
90,6,0.5,0.4,0.1,0.8151915850586204
