,GIS_mean,WAIS_mean,EAIS_mean,GIS_marginal_cov,WAIS_marginal_cov,EAIS_marginal_cov,global_mean,global_cov
1993-1994,2.0658345306798505,-1.8605339394677964,5.520453720428964,13.560376547398596,10.770625512764985,21.61127797068791,6.087382161154021,2.6919261112385717
1994-1995,-1.3743500357635858,2.4968289512680393,3.736672396444058,13.560376547398596,10.770625512764985,21.61127797068791,4.682313368127311,2.6919261112385717
1995-1996,-1.6608013414282614,0.36678091422090664,4.2083635268623105,13.560376547398596,10.770625512764985,21.61127797068791,2.7408823327894836,2.6919261112385717
1996-1997,2.6405313725348547,2.4903822112354925,-2.223173108275251,13.560376547398596,10.770625512764985,21.61127797068791,3.4326445468821243,2.6919261112385717
1997-1998,-0.3819363826491709,-1.0410919939507572,0.1472783413104497,13.560376547398596,10.770625512764985,21.61127797068791,-1.3506639404059495,2.6919261112385717
1998-1999,-2.5266002252903017,-0.17957305165777782,3.4480774633385836,13.560376547398596,10.770625512764985,21.61127797068791,0.30980245215588087,2.6919261112385717
1999-2000,-0.44964159269200443,0.39659756091502146,4.255309920529038,13.560376547398596,10.770625512764985,21.61127797068791,4.149954760857346,2.6919261112385717
2000-2001,-0.9131463159974977,4.523387884426326,2.616009612332454,13.560376547398596,10.770625512764985,21.61127797068791,6.079055701631816,2.6919261112385717
2001-2002,3.5408983120367097,-1.1642040799375462,-2.1197342110223776,13.560376547398596,10.770625512764985,21.61127797068791,0.9460524231929066,2.6919261112385717
2002-2003,0.9823630775652645,1.5090731627991048,0.7004860398820141,13.560376547398596,10.770625512764985,21.61127797068791,3.380651840230409,2.6919261112385717
2003-2004,1.1070560074798195,-1.2392558893300036,1.2615059251469516,13.560376547398596,10.770625512764985,21.61127797068791,1.3910811060675397,2.6919261112385717
2004-2005,0.3688033168787362,-0.6864415975656828,4.557720439023309,13.560376547398596,10.770625512764985,21.61127797068791,4.262836045337889,2.6919261112385717
2005-2006,-1.1951287718566903,1.2995107596532762,1.629380261218885,13.560376547398596,10.770625512764985,21.61127797068791,1.5835869284660236,2.6919261112385717
2006-2007,-0.5926289990100861,-1.6682050526766186,2.8902120865790137,13.560376547398596,10.770625512764985,21.61127797068791,0.5635581694355221,2.6919261112385717
2007-2008,0.22990653141851064,2.483114013587829,-0.3420081431615787,13.560376547398596,10.770625512764985,21.61127797068791,2.3574318305232413,2.6919261112385717
2008-2009,3.8153265834359864,0.2159479058861012,-0.8514943523054339,13.560376547398596,10.770625512764985,21.61127797068791,3.879722140749925,2.6919261112385717
2009-2010,-3.2878754812272275,2.1007731176207622,4.075943255629748,13.560376547398596,10.770625512764985,21.61127797068791,2.306709639535248,2.6919261112385717
2010-2011,-0.7272630777834763,-0.4275285303715072,1.5412818077221804,13.560376547398596,10.770625512764985,21.61127797068791,0.2746608591119464,2.6919261112385717
2011-2012,3.174087205095417,1.7123498800082713,3.8197822778644976,13.560376547398596,10.770625512764985,21.61127797068791,9.305618289875497,2.6919261112385717
2012-2013,0.20949220758423323,0.7151343339208425,1.5670542374982959,13.560376547398596,10.770625512764985,21.61127797068791,2.549874491213399,2.6919261112385717
2013-2014,2.237013942311547,0.24107426404034926,-0.36761322295599097,13.560376547398596,10.770625512764985,21.61127797068791,2.4600643777571314,2.6919261112385717
2014-2015,6.381488041759354,2.5993670774392523,-0.5578781864441638,13.560376547398596,10.770625512764985,21.61127797068791,9.5874772045832,2.6919261112385717
2015-2016,3.5058292936330306,-3.6742617174719916,2.0656533492467273,13.560376547398596,10.770625512764985,21.61127797068791,2.6314286349840126,2.6919261112385717
2016-2017,-6.429558886213072,4.817405463031852,4.541527665432137,13.560376547398596,10.770625512764985,21.61127797068791,1.7651086950597894,2.6919261112385717
2017-2018,2.8312836519140956,0.3107212167774776,-0.6728573811041418,13.560376547398596,10.770625512764985,21.61127797068791,3.0526857402118743,2.6919261112385717
2018-2019,1.658754107379614,0.14912668352246056,4.367797697636156,13.560376547398596,10.770625512764985,21.61127797068791,6.4994303329123255,2.6919261112385717
2019-2020,2.704206499128583,-2.152463772444741,0.7575170190154418,13.560376547398596,10.770625512764985,21.61127797068791,1.8398692218239079,2.6919261112385717
2020-2021,-2.6946966983336322,2.4733196027080693,5.5294799088560485,13.560376547398596,10.770625512764985,21.61127797068791,4.885893292153715,2.6919261112385717
