odt_length_scale,odt_amplitude_95_range,ice_length_scale,ice_thickness_95_range,net_ice_thickness_change,gmsl_slc_expectation,gmsl_slc_std,gmsl_ssh_expectation,gmsl_ssh_std,gmsl_ssh_odt_expectation,gmsl_ssh_odt_std,lmax
0.009995291163082719,0.01,0.0999529116308272,100,-200.0,9388.31190456124,0.00046309798326262176,-7393.664006573352,0.000231425116329844,-7393.664006573352,0.00023161717611929294,128.0
0.009995291163082719,0.1,0.0999529116308272,100,-200.0,9388.31190456124,0.00046309740615738516,-7393.664006573352,0.0002314255402540892,-7393.664006573352,0.0002499019031577157,128.0
0.009995291163082719,10.0,0.0999529116308272,100,-200.0,9388.31190456124,0.00045723148875200393,-7393.664006573352,0.000235668280049071,-7393.664006573352,0.009433310380656427,128.0
0.49976455815413595,0.01,0.0999529116308272,100,-200.0,9388.31190456124,0.00046309798326262495,-7393.664006573352,0.00023142511632984262,-7393.664006573352,0.00023161717611929294,128.0
0.49976455815413595,0.1,0.0999529116308272,100,-200.0,9388.31190456124,0.0004630974061572997,-7393.664006573439,0.00023142554025347794,-7393.664006573439,0.00024990190315720513,128.0
0.49976455815413595,10.0,0.0999529116308272,100,-200.0,9388.31190456124,0.00045723148875197937,-7393.664006573352,0.00023566828004908672,-7393.664006573352,0.009433310380673911,128.0
0.009995291163082719,0.01,0.0999529116308272,100,200.0,-9388.31190456124,0.00046309798326262994,7393.664006573352,0.0002314251163298472,7393.664006573352,0.00023161717611929204,128.0
0.009995291163082719,0.1,0.0999529116308272,100,200.0,-9388.31190456124,0.00046309740615738793,7393.664006573352,0.00023142554025409558,7393.664006573352,0.00024990190315772116,128.0
0.009995291163082719,10.0,0.0999529116308272,100,200.0,-9388.31190456124,0.0004572314887520072,7393.664006573352,0.00023566828004907594,7393.664006573352,0.009433310380656427,128.0
0.49976455815413595,0.01,0.0999529116308272,100,200.0,-9388.31190456124,0.00046309798326263086,7393.664006573352,0.00023142511632984674,7393.664006573352,0.00023161717611929158,128.0
