true_mean,true_std,est_mean,est_std,error_mean,error_std,G,W,E
0.0,0.009990985053162761,0.0,0.009876694316922669,0.0,0.01404880325730467,0.0,0.0,1.0
0.0,0.00823877733563148,0.0,0.008149038551966333,0.0,0.011588109479442645,0.0,0.2,0.8
0.0,0.00720460178031454,0.0,0.0071299157545645486,0.0,0.010136172131534626,0.0,0.4,0.6
0.0,0.007204601780314489,0.0,0.00712991575456412,0.0,0.010136172131534288,0.0,0.6000000000000001,0.3999999999999999
0.0,0.008238777335631418,0.0,0.00814903855196584,0.0,0.011588109479442256,0.0,0.8,0.19999999999999996
0.0,0.009990985053162777,0.0,0.009876694316922289,0.0,0.014048803257304412,0.0,1.0,0.0
0.0,0.008238777335631418,0.0,0.00814903855196584,0.0,0.011588109479442256,0.2,0.0,0.8
0.0,0.0066272697414779865,0.0,0.006561260042100514,0.0,0.00932581565153282,0.2,0.2,0.6000000000000001
0.0,0.005994591031897663,0.0,0.005938397764797033,0.0,0.00843799085402765,0.2,0.4,0.4
0.0,0.006627269741477981,0.0,0.00656126004210066,0.0,0.009325815651532919,0.2,0.6000000000000001,0.19999999999999996
0.0,0.008238777335631475,0.0,0.008149038551966508,0.0,0.011588109479442764,0.2,0.8,0.0
0.0,0.010382936237843502,0.0,0.010263267313923376,0.0,0.014599315767397173,0.2,1.0,-0.19999999999999996
0.0,0.00720460178031454,0.0,0.0071299157545645486,0.0,0.010136172131534626,0.4,0.0,0.6
0.0,0.005994591031897666,0.0,0.005938397764796657,0.0,0.008437990854027388,0.4,0.2,0.39999999999999997
0.0,0.005994591031897663,0.0,0.005938397764797033,0.0,0.00843799085402765,0.4,0.4,0.19999999999999996
0.0,0.007204601780314531,0.0,0.007129915754564824,0.0,0.010136172131534813,0.4,0.6000000000000001,-1.1102230246251565e-16
0.0,0.009156889054658165,0.0,0.009054168099592542,0.0,0.012877366855650177,0.4,0.8,-0.20000000000000007
0.0,0.01147876790770373,0.0,0.01134422108116799,0.0,0.01613857071172492,0.4,1.0,-0.4
0.0,0.007204601780314542,0.0,0.0071299157545645486,0.0,0.010136172131534626,0.6000000000000001,0.0,0.3999999999999999
0.0,0.006627269741477986,0.0,0.006561260042100514,0.0,0.00932581565153282,0.6000000000000001,0.2,0.1999999999999999
0.0,0.007204601780314535,0.0,0.007129915754565133,0.0,0.010136172131535033,0.6000000000000001,0.4,-1.1102230246251565e-16
0.0,0.008709938838632358,0.0,0.008613500719716729,0.0,0.01224971139338707,0.6000000000000001,0.6000000000000001,-0.20000000000000018
0.0,0.010760620219379782,0.0,0.010635799043051602,0.0,0.015129810599934896,0.6000000000000001,0.8,-0.40000000000000013
0.0,0.013103054056666917,0.0,0.012946782556836685,0.0,0.018420347558771685,0.6000000000000001,1.0,-0.6000000000000001
0.0,0.008238777335631418,0.0,0.00814903855196584,0.0,0.011588109479442256,0.8,0.0,0.19999999999999996
0.0,0.00823877733563148,0.0,0.008149038551966333,0.0,0.011588109479442645,0.8,0.2,-5.551115123125783e-17
0.0,0.009156889054658165,0.0,0.009054168099592542,0.0,0.012877366855650177,0.8,0.4,-0.20000000000000007
0.0,0.010760620219379808,0.0,0.010635799043051293,0.0,0.015129810599934698,0.8,0.6000000000000001,-0.40000000000000013
0.0,0.012794703709947177,0.0,0.012642531915993701,0.0,0.01798716365279016,0.8,0.8,-0.6000000000000001
0.0,0.015086056599328703,0.0,0.014903628278505995,0.0,0.021206301883686194,0.8,1.0,-0.8
0.0,0.009990985053162703,0.0,0.009876694316921694,0.0,0.01404880325730394,1.0,0.0,0.0
0.0,0.010382936237843476,0.0,0.010263267313923668,0.0,0.01459931576739736,1.0,0.2,-0.2
0.0,0.011478767907703712,0.0,0.011344221081168428,0.0,0.01613857071172521,1.0,0.4,-0.4
0.0,0.013103054056667018,0.0,0.01294678255683747,0.0,0.01842034755877231,1.0,0.6000000000000001,-0.6000000000000001
0.0,0.015086056599328742,0.0,0.014903628278506244,0.0,0.0212063018836864,1.0,0.8,-0.8
0.0,0.01730489372973916,0.0,0.01709351408599208,0.0,0.024323806667657415,1.0,1.0,-1.0
