version https://git-lfs.github.com/spec/v1,setup_index,gmsl_true_mm,altimetry_estimate_mm,altimetry_std_mm,altimetry_z,truth_length_scale_m,truth_gmsl_std_nd,altimetry_degree_density,altimetry_error_std_nd,prior_z__accurate_prior__1,prior_z__length_scale__0p05,prior_z__length_scale__0p15,prior_z__length_scale__0p4,prior_z__mean_offset__1,prior_z__mean_offset__10,prior_z__mean_offset__50,prior_z__std_multiplier__0p5,prior_z__std_multiplier__2,prior_mean_mm__accurate_prior__1,prior_mean_mm__length_scale__0p05,prior_mean_mm__length_scale__0p15,prior_mean_mm__length_scale__0p4,prior_mean_mm__mean_offset__1,prior_mean_mm__mean_offset__10,prior_mean_mm__mean_offset__50,prior_mean_mm__std_multiplier__0p5,prior_mean_mm__std_multiplier__2,prior_std_mm__accurate_prior__1,prior_std_mm__length_scale__0p05,prior_std_mm__length_scale__0p15,prior_std_mm__length_scale__0p4,prior_std_mm__mean_offset__1,prior_std_mm__mean_offset__10,prior_std_mm__mean_offset__50,prior_std_mm__std_multiplier__0p5,prior_std_mm__std_multiplier__2,posterior_z__accurate_prior__1,posterior_z__length_scale__0p05,posterior_z__length_scale__0p15,posterior_z__length_scale__0p4,posterior_z__mean_offset__1,posterior_z__mean_offset__10,posterior_z__mean_offset__50,posterior_z__std_multiplier__0p5,posterior_z__std_multiplier__2,posterior_mean_mm__accurate_prior__1,posterior_mean_mm__length_scale__0p05,posterior_mean_mm__length_scale__0p15,posterior_mean_mm__length_scale__0p4,posterior_mean_mm__mean_offset__1,posterior_mean_mm__mean_offset__10,posterior_mean_mm__mean_offset__50,posterior_mean_mm__std_multiplier__0p5,posterior_mean_mm__std_multiplier__2,posterior_std_mm__accurate_prior__1,posterior_std_mm__length_scale__0p05,posterior_std_mm__length_scale__0p15,posterior_std_mm__length_scale__0p4,posterior_std_mm__mean_offset__1,posterior_std_mm__mean_offset__10,posterior_std_mm__mean_offset__50,posterior_std_mm__std_multiplier__0p5,posterior_std_mm__std_multiplier__2,prior_bias_mm__accurate_prior__1,prior_bias_mm__length_scale__0p05,prior_bias_mm__length_scale__0p15,prior_bias_mm__length_scale__0p4,prior_bias_mm__mean_offset__1,prior_bias_mm__mean_offset__10,prior_bias_mm__mean_offset__50,prior_bias_mm__std_multiplier__0p5,prior_bias_mm__std_multiplier__2,posterior_bias_mm__accurate_prior__1,posterior_bias_mm__length_scale__0p05,posterior_bias_mm__length_scale__0p15,posterior_bias_mm__length_scale__0p4,posterior_bias_mm__mean_offset__1,posterior_bias_mm__mean_offset__10,posterior_bias_mm__mean_offset__50,posterior_bias_mm__std_multiplier__0p5,posterior_bias_mm__std_multiplier__2,cg_iterations__accurate_prior__1,cg_iterations__length_scale__0p05,cg_iterations__length_scale__0p15,cg_iterations__length_scale__0p4,cg_iterations__mean_offset__1,cg_iterations__mean_offset__10,cg_iterations__mean_offset__50,cg_iterations__std_multiplier__0p5,cg_iterations__std_multiplier__2,runtime_s__accurate_prior__1,runtime_s__length_scale__0p05,runtime_s__length_scale__0p15,runtime_s__length_scale__0p4,runtime_s__mean_offset__1,runtime_s__mean_offset__10,runtime_s__mean_offset__50,runtime_s__std_multiplier__0p5,runtime_s__std_multiplier__2
,0.0,3.600627641525112,3.4065412741817505,0.08222237557849003,-2.3605054704127992,636800.0,0.01,5.0,0.003,-0.36006276415251964,-0.3600627641525189,-0.3600627641525207,-0.3600627641525223,-0.2600627641525173,0.6399372358475033,4.639937235847594,-0.7201255283050393,-0.18003138207625982,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999766,9.999999999999785,9.999999999999735,9.999999999999691,9.999999999999766,9.999999999999766,9.999999999999766,4.999999999999883,19.99999999999953,0.2337154502096567,0.3824755638367379,0.08445755972652838,-0.23772787229680792,0.24804484415523448,0.3192164198365696,-0.10050868396859673,-0.034853231339948186,0.538814409256089,3.6229049071891035,3.6413657560019512,3.6081888984294292,3.5807644643334724,3.6242707549130913,3.6310546799713435,3.5910473649439187,3.5976117217715187,3.6543053601170157,0.09531789894081687,0.10651167898984679,0.08952729547006187,0.08355426311492824,0.09531789894081687,0.09531789894081687,0.09531789894081687,0.08653199825797732,0.09962190629982143,-3.600627641525112,-3.600627641525112,-3.600627641525112,-3.600627641525112,-2.600627641525112,6.399372358474883,46.39937235847485,-3.600627641525112,-3.600627641525112,0.022277265663991574,0.04073811447683928,0.007561256904317304,-0.019863177191639547,0.02364311338797931,0.030427038446231514,-0.009580276581193203,-0.003015919753593277,0.053677718591903734,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,216.0,69.29140398400023,86.91235692999999,64.03067478000003,47.684481732999984,86.11589913399985,58.571746389000054,65.77960794699993,38.25229482499981,186.7669208430002
,1.0,3.6006276415250804,3.406541274181723,0.08222237557849003,-2.360505470412751,636800.0,0.01,5.0,0.003,-0.360062764152518,-0.36006276415251703,-0.3600627641525187,-0.3600627641525211,-0.2600627641525152,0.6399372358475091,4.639937235847616,-0.720125528305036,-0.180031382076259,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999725,9.99999999999975,9.999999999999703,9.999999999999638,9.999999999999725,9.999999999999725,9.999999999999725,4.999999999999862,19.99999999999945,0.2336957674958366,0.3824754709481163,0.08445750831076598,-0.23772774059306273,0.24804531882953296,0.3192160732691514,-0.1005087338955452,-0.0348532470125538,0.5388666907266731,3.6229030308201944,3.641365750453441,3.6081888938836575,3.5807644755594232,3.6242707998884724,3.6310546465903504,3.5910473602941755,3.5976117204203515,3.6543105665730056,0.09531789785414413,0.10651169035069163,0.08952729614938482,0.08355426218288309,0.09531789785414413,0.09531789785414413,0.09531789785414413,0.08653199811319212,0.09962190272984325,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-2.6006276415250804,6.399372358474914,46.399372358474885,-3.6006276415250804,-3.6006276415250804,0.022275389295113968,0.04073810892836072,0.007561252358577075,-0.01986316596565718,0.023643158363392036,0.030427005065269963,-0.00958028123090493,-0.0030159211047289247,0.053682925047925156,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,218.0,72.48055200699991,90.70037630900015,63.053888930000085,48.260774069000036,80.9186646359999,64.32030631499993,66.11674246199982,37.016406150999956,187.6767455539998
,2.0,3.600627641525112,3.4065412741817505,0.08222237557849003,-2.3605054704127992,636800.0,0.01,5.0,0.003,-0.36006276415251964,-0.3600627641525189,-0.3600627641525207,-0.3600627641525223,-0.2600627641525173,0.6399372358475033,4.639937235847594,-0.7201255283050393,-0.18003138207625982,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999766,9.999999999999785,9.999999999999735,9.999999999999691,9.999999999999766,9.999999999999766,9.999999999999766,4.999999999999883,19.99999999999953,0.2337154502096567,0.3824755638367379,0.08445755972652838,-0.23772787229680792,0.24804484415523448,0.3192164198365696,-0.10050868396859673,-0.034853231339948186,0.538814409256089,3.6229049071891035,3.6413657560019512,3.6081888984294292,3.5807644643334724,3.6242707549130913,3.6310546799713435,3.5910473649439187,3.5976117217715187,3.6543053601170157,0.09531789894081687,0.10651167898984679,0.08952729547006187,0.08355426311492824,0.09531789894081687,0.09531789894081687,0.09531789894081687,0.08653199825797732,0.09962190629982143,-3.600627641525112,-3.600627641525112,-3.600627641525112,-3.600627641525112,-2.600627641525112,6.399372358474883,46.39937235847485,-3.600627641525112,-3.600627641525112,0.022277265663991574,0.04073811447683928,0.007561256904317304,-0.019863177191639547,0.02364311338797931,0.030427038446231514,-0.009580276581193203,-0.003015919753593277,0.053677718591903734,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,216.0,69.19087486699982,87.34155472099997,63.90788376199998,46.213402292999945,80.97188680699992,61.81539284700011,58.052138236000246,36.99942308699974,189.6853560540003
,3.0,3.60062764152507,3.4065412741817114,0.08222237557849003,-2.360505470412767,636800.0,0.01,5.0,0.003,-0.3600627641525194,-0.36006276415251864,-0.3600627641525207,-0.36006276415252214,-0.260062764152516,0.6399372358475145,4.639937235847649,-0.7201255283050388,-0.1800313820762597,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999655,9.999999999999677,9.99999999999962,9.99999999999958,9.999999999999655,9.999999999999655,9.999999999999655,4.999999999999828,19.99999999999931,0.23369940451072416,0.38247541701619675,0.08445748000047273,-0.23772773970999733,0.24804466055457572,0.31921489801037023,-0.1005087375885398,-0.034853234799625044,0.5388056824273805,3.6229033775100463,3.6413657459292157,3.608188891319585,3.580764475812772,3.6242707371613845,3.631054534590704,3.5910473599347386,3.597611721464795,3.6543044889890774,0.09531789792795092,0.10651169354086971,0.08952729579988009,0.08355426142750118,0.09531789792795092,0.09531789792795092,0.09531789792795092,0.08653199846768637,0.09962190306194801,-3.60062764152507,-3.60062764152507,-3.60062764152507,-3.60062764152507,-2.60062764152507,6.399372358474924,46.39937235847489,-3.60062764152507,-3.60062764152507,0.02227573598497612,0.04073810440414549,0.007561249794514779,-0.01986316571229807,0.023643095636314282,0.03042689306563373,-0.00958028159033164,-0.003015920060275068,0.05367684746400725,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,216.0,65.12332945099979,95.17886491699983,64.14311796600009,48.537567479000245,82.74414209800034,62.314851866000026,59.17887028599989,37.57316471900003,184.07665258099996
,4.0,3.6006276415250804,3.406541274181723,0.08222237557849003,-2.360505470412751,636800.0,0.01,5.0,0.003,-0.360062764152518,-0.36006276415251703,-0.3600627641525187,-0.3600627641525211,-0.2600627641525152,0.6399372358475091,4.639937235847616,-0.720125528305036,-0.180031382076259,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999725,9.99999999999975,9.999999999999703,9.999999999999638,9.999999999999725,9.999999999999725,9.999999999999725,4.999999999999862,19.99999999999945,0.2336957674958366,0.3824754709481163,0.08445750831076598,-0.23772774059306273,0.24804531882953296,0.3192160732691514,-0.1005087338955452,-0.0348532470125538,0.5388666907266731,3.6229030308201944,3.641365750453441,3.6081888938836575,3.5807644755594232,3.6242707998884724,3.6310546465903504,3.5910473602941755,3.5976117204203515,3.6543105665730056,0.09531789785414413,0.10651169035069163,0.08952729614938482,0.08355426218288309,0.09531789785414413,0.09531789785414413,0.09531789785414413,0.08653199811319212,0.09962190272984325,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-2.6006276415250804,6.399372358474914,46.399372358474885,-3.6006276415250804,-3.6006276415250804,0.022275389295113968,0.04073810892836072,0.007561252358577075,-0.01986316596565718,0.023643158363392036,0.030427005065269963,-0.00958028123090493,-0.0030159211047289247,0.053682925047925156,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,218.0,68.70825468799967,90.655495471,66.02650962500002,47.12172588600015,81.76903793700012,66.37767673000008,63.31323892499995,42.41868259099965,189.91770163799993
,5.0,3.6006276415250804,3.406541274181723,0.08222237557849003,-2.360505470412751,636800.0,0.01,5.0,0.003,-0.360062764152518,-0.36006276415251703,-0.3600627641525187,-0.3600627641525211,-0.2600627641525152,0.6399372358475091,4.639937235847616,-0.720125528305036,-0.180031382076259,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999725,9.99999999999975,9.999999999999703,9.999999999999638,9.999999999999725,9.999999999999725,9.999999999999725,4.999999999999862,19.99999999999945,0.2336957674958366,0.3824754709481163,0.08445750831076598,-0.23772774059306273,0.24804531882953296,0.3192160732691514,-0.1005087338955452,-0.0348532470125538,0.5388666907266731,3.6229030308201944,3.641365750453441,3.6081888938836575,3.5807644755594232,3.6242707998884724,3.6310546465903504,3.5910473602941755,3.5976117204203515,3.6543105665730056,0.09531789785414413,0.10651169035069163,0.08952729614938482,0.08355426218288309,0.09531789785414413,0.09531789785414413,0.09531789785414413,0.08653199811319212,0.09962190272984325,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-2.6006276415250804,6.399372358474914,46.399372358474885,-3.6006276415250804,-3.6006276415250804,0.022275389295113968,0.04073810892836072,0.007561252358577075,-0.01986316596565718,0.023643158363392036,0.030427005065269963,-0.00958028123090493,-0.0030159211047289247,0.053682925047925156,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,218.0,64.45951299199987,92.44961238999986,63.280098582999926,48.55990053000005,81.26863240099965,60.29133620899984,63.296110267999666,35.03524919199981,200.37241282099967
,6.0,3.600627641525124,3.40654127418176,0.08222237557849003,-2.3605054704128317,636800.0,0.01,5.0,0.003,-0.36006276415251964,-0.3600627641525188,-0.3600627641525206,-0.36006276415252286,-0.2600627641525176,0.6399372358475,4.639937235847578,-0.7201255283050393,-0.18003138207625982,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.9999999999998,9.999999999999822,9.999999999999773,9.999999999999709,9.9999999999998,9.9999999999998,9.9999999999998,4.9999999999999,19.9999999999996,0.23370830001593704,0.382475428660665,0.08445759815013062,-0.23772764635440627,0.24804529876048903,0.319216446194502,-0.10050897719852267,-0.034853254465607435,0.5388287358289778,3.622904225343019,3.641365743328662,3.608188901917048,3.580764483178638,3.6242707979217776,3.6310546820676186,3.5910473371248903,3.597611719778633,3.6543067842521917,0.09531789763725129,0.10651168349871006,0.08952729603419651,0.08355426325499372,0.09531789763725129,0.09531789763725129,0.09531789763725129,0.08653199802237065,0.0996219005366954,-3.600627641525124,-3.600627641525124,-3.600627641525124,-3.600627641525124,-2.600627641525124,6.399372358474871,46.39937235847484,-3.600627641525124,-3.600627641525124,0.0222765838178951,0.04073810180353821,0.007561260391923952,-0.01986315834648611,0.02364315639665371,0.030427040542494677,-0.009580304400233608,-0.0030159217464911237,0.05367914272706775,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,217.0,67.53890113499983,85.9233533439999,63.12289071500004,48.89182058799997,86.69521421699983,62.9962653069997,64.29575236100027,42.20295090499985,181.28095226100004
,7.0,3.6006276415251026,3.4065412741817442,0.08222237557849003,-2.3605054704127615,636800.0,0.01,5.0,0.003,-0.3600627641525202,-0.36006276415251937,-0.36006276415252114,-0.36006276415252336,-0.26006276415251744,0.6399372358475068,4.639937235847614,-0.7201255283050404,-0.1800313820762601,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999725,9.999999999999748,9.999999999999698,9.999999999999636,9.999999999999725,9.999999999999725,9.999999999999725,4.999999999999862,19.99999999999945,0.23370067828709565,0.382475550381571,0.08445754448961951,-0.2377277622368545,0.24804520032669455,0.3192160602887398,-0.10050903107006674,-0.0348532144670322,0.5386584660780059,3.6229034988712683,3.6413657487569604,3.608188897101205,3.5807644737181703,3.6242707885556418,3.6310546453049612,3.5910473319833063,3.5976117232325633,3.6542898219137774,0.09531789770331907,0.1065116637944988,0.08952729589517926,0.08355426232104146,0.09531789770331907,0.09531789770331907,0.09531789770331907,0.08653199822909023,0.09962190101529689,-3.6006276415251026,-3.6006276415251026,-3.6006276415251026,-3.6006276415251026,-2.6006276415251026,6.399372358474892,46.399372358474864,-3.6006276415251026,-3.6006276415251026,0.02227585734616566,0.04073810723185778,0.0075612555761024325,-0.019863167806932314,0.023643147030539158,0.03042700377985863,-0.009580309541796339,-0.0030159182925393324,0.05366218038867476,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,216.0,70.24152289500034,95.68819643399979,63.96214275000011,46.211552150000216,82.04414268399978,62.02656189900017,65.60836587299991,40.337723107999864,185.19540959799997
,8.0,3.6006276415250804,3.406541274181723,0.08222237557849003,-2.360505470412751,636800.0,0.01,5.0,0.003,-0.360062764152518,-0.36006276415251703,-0.3600627641525187,-0.3600627641525211,-0.2600627641525152,0.6399372358475091,4.639937235847616,-0.720125528305036,-0.180031382076259,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999725,9.99999999999975,9.999999999999703,9.999999999999638,9.999999999999725,9.999999999999725,9.999999999999725,4.999999999999862,19.99999999999945,0.2336957674958366,0.3824754709481163,0.08445750831076598,-0.23772774059306273,0.24804531882953296,0.3192160732691514,-0.1005087338955452,-0.0348532470125538,0.5388666907266731,3.6229030308201944,3.641365750453441,3.6081888938836575,3.5807644755594232,3.6242707998884724,3.6310546465903504,3.5910473602941755,3.5976117204203515,3.6543105665730056,0.09531789785414413,0.10651169035069163,0.08952729614938482,0.08355426218288309,0.09531789785414413,0.09531789785414413,0.09531789785414413,0.08653199811319212,0.09962190272984325,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-3.6006276415250804,-2.6006276415250804,6.399372358474914,46.399372358474885,-3.6006276415250804,-3.6006276415250804,0.022275389295113968,0.04073810892836072,0.007561252358577075,-0.01986316596565718,0.023643158363392036,0.030427005065269963,-0.00958028123090493,-0.0030159211047289247,0.053682925047925156,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,218.0,64.94706734600004,83.23539431799986,64.37182127999995,45.45036041100002,84.63411361599992,60.252605747000416,62.18294412199975,38.02081645599992,189.50333532000013
,9.0,3.600627641525112,3.4065412741817505,0.08222237557849003,-2.3605054704127992,636800.0,0.01,5.0,0.003,-0.36006276415251964,-0.3600627641525189,-0.3600627641525207,-0.3600627641525223,-0.2600627641525173,0.6399372358475033,4.639937235847594,-0.7201255283050393,-0.18003138207625982,0.0,0.0,0.0,0.0,1.0,9.999999999999995,49.999999999999964,0.0,0.0,9.999999999999766,9.999999999999785,9.999999999999735,9.999999999999691,9.999999999999766,9.999999999999766,9.999999999999766,4.999999999999883,19.99999999999953,0.2337154502096567,0.3824755638367379,0.08445755972652838,-0.23772787229680792,0.24804484415523448,0.3192164198365696,-0.10050868396859673,-0.034853231339948186,0.538814409256089,3.6229049071891035,3.6413657560019512,3.6081888984294292,3.5807644643334724,3.6242707549130913,3.6310546799713435,3.5910473649439187,3.5976117217715187,3.6543053601170157,0.09531789894081687,0.10651167898984679,0.08952729547006187,0.08355426311492824,0.09531789894081687,0.09531789894081687,0.09531789894081687,0.08653199825797732,0.09962190629982143,-3.600627641525112,-3.600627641525112,-3.600627641525112,-3.600627641525112,-2.600627641525112,6.399372358474883,46.39937235847485,-3.600627641525112,-3.600627641525112,0.022277265663991574,0.04073811447683928,0.007561256904317304,-0.019863177191639547,0.02364311338797931,0.030427038446231514,-0.009580276581193203,-0.003015919753593277,0.053677718591903734,97.0,125.0,87.0,57.0,111.0,89.0,90.0,54.0,216.0,66.99372783099989,92.03341214500006,62.037614161999954,46.5155836240001,84.471277525,62.1033745980003,65.12225714600027,36.01377205100016,184.967979776
