lmax,mean,std
30,0.0,348.0689926848991
40,0.0,481.1615524403432
50,0.0,416.64439548872883
64,0.0,416.61635897958337
80,0.0,349.25298587518705
100,0.0,318.0433790460151
128,0.0,285.6012625320351
160,0.0,226.35034817456915
200,0.0,212.04311519874128
256,0.0,158.11953806369914
320,0.0,98.1138388381443
400,0.0,108.47426185569746
512,0.0,106.48781846435902
