lmax,mean,std
30,0.0,9.066711648716528e-13
40,0.0,1.2631914165895046e-12
50,0.0,1.084477615435059e-12
64,0.0,1.0768573745168298e-12
80,0.0,8.980546200170078e-13
100,0.0,8.181498735440403e-13
128,0.0,7.33828834913856e-13
160,0.0,5.827042241561773e-13
200,0.0,5.442348060229797e-13
256,0.0,4.0709870184518833e-13
320,0.0,2.5202833731800304e-13
400,0.0,2.7860571240412173e-13
512,0.0,2.73454991213909e-13
