length_scale,satellite_range,error,true_mean,estimate,num_error
0.1,70.22,692.8828647306964,-2.525938447484217e-14,1.4975856228778502e-13,1.750179467626272e-13
0.1,50.44,689.855906188638,2.981829530058663e-14,2.3552156655645256e-13,2.0570327125586593e-13
0.005,20.78,687.0535854271006,2.1598003618141495e-14,1.6998786185725756e-13,1.4838985823911606e-13
0.005,10.89,686.710739792813,2.1598003618141495e-14,1.6991381404475948e-13,1.4831581042661797e-13
0.1,60.33,654.2254602318247,-2.525938447484217e-14,1.399939398574201e-13,1.6525332433226227e-13
0.005,30.67,640.6114872308156,2.1598003618141495e-14,1.599572958084831e-13,1.383592921903416e-13
0.1,50.44,608.6506681827492,-2.525938447484217e-14,1.284820279101343e-13,1.5374141238497647e-13
0.1,40.56,587.1133598564448,2.981829530058663e-14,2.0488549069177718e-13,1.7506719539119056e-13
0.1,40.56,578.4962331755663,-2.525938447484217e-14,1.2086520323545358e-13,1.4612458771029574e-13
0.005,70.22,577.6895261114264,6.741632561330509e-14,-3.2204072634393325e-13,-3.8945705195723833e-13
0.1,30.67,565.4187744672838,-2.525938447484217e-14,1.1756191766078976e-13,1.4282130213563194e-13
0.005,40.56,543.1292027155108,2.1598003618141495e-14,1.3890306847182058e-13,1.1730506485367908e-13
0.005,60.33,510.37790486369715,6.741632561330509e-14,-2.7666170458796946e-13,-3.4407803020127454e-13
0.1,30.67,493.446647659555,2.981829530058663e-14,1.7695567385055798e-13,1.4713737854997135e-13
0.1,20.78,487.2342192304607,-2.525938447484217e-14,9.78129802535753e-14,1.2307236472841745e-13
0.005,80.11,474.23636114342014,6.741632561330509e-14,-2.5229640379183247e-13,-3.1971272940513754e-13
0.1,80.11,459.30339615162563,-2.525938447484217e-14,9.075782626510438e-14,1.1601721073994656e-13
0.005,50.44,445.0908213000304,6.741632561330509e-14,-2.326475517492573e-13,-3.000638773625624e-13
0.1,20.78,440.31733384163994,2.981829530058663e-14,1.6111341816515669e-13,1.3129512286457006e-13
0.005,90.0,435.24881623433436,6.741632561330509e-14,-2.2601243356728967e-13,-2.9342875918059477e-13
0.1,10.89,427.89259196737885,-2.525938447484217e-14,8.282365046956567e-14,1.0808303494440784e-13
0.1,10.89,425.0318253678455,2.981829530058663e-14,1.5655554011024447e-13,1.2673724480965784e-13
0.005,70.22,420.09684525000273,2.1598003618141495e-14,-6.913452821865237e-14,-9.073253183679387e-14
0.1,1.0,397.75135223430783,2.981829530058663e-14,1.4842096807188902e-13,1.186026727713024e-13
0.1,1.0,380.8580574600471,-2.525938447484217e-14,7.094301656240645e-14,9.620240103724862e-14
0.005,50.44,375.085767410936,2.1598003618141495e-14,1.0260904123468924e-13,8.101103761654774e-14
0.1,90.0,370.05138587684314,-2.525938447484217e-14,6.821331783827144e-14,9.347270231311361e-14
0.005,40.56,360.35961281012817,6.741632561330509e-14,-1.7552488433761638e-13,-2.429412099509215e-13
0.1,90.0,322.38335158130803,-1.361554785210658e-13,3.027871164967141e-13,4.389425950177799e-13
0.005,30.67,293.5098569546065,6.741632561330509e-14,-1.3045723525835841e-13,-1.978735608716635e-13
0.1,80.11,293.4463820965441,-1.361554785210658e-13,2.6338784722523897e-13,3.9954332574630476e-13
