true_mean,true_std,est_mean,est_std,error_mean,error_std,G,W,E
0.0,0.009990985053162703,0.0,0.009876694316921694,0.0,0.01404880325730394,0.0,0.0,1.0
0.0,0.009128014283342157,0.0,0.009025697305742163,0.0,0.012836816451588757,0.09090909090909091,0.0,0.9090909090909091
0.0,0.008373848260889357,0.0,0.00828218019816309,0.0,0.01177776903879697,0.18181818181818182,0.0,0.8181818181818181
0.0,0.007760273973966735,0.0,0.007677433267037631,0.0,0.010916264641389084,0.2727272727272727,0.0,0.7272727272727273
0.0,0.007322717877999689,0.0,0.007246283879327137,0.0,0.010301981711329749,0.36363636363636365,0.0,0.6363636363636364
0.0,0.0070938261612229665,0.0,0.007020787299497545,0.0,0.009980672517943738,0.4545454545454546,0.0,0.5454545454545454
0.0,0.0070938261612229665,0.0,0.007020787299497545,0.0,0.009980672517943738,0.5454545454545454,0.0,0.4545454545454546
0.0,0.007322717877999688,0.0,0.0072462838793270375,0.0,0.010301981711329677,0.6363636363636364,0.0,0.36363636363636365
0.0,0.007760273973966746,0.0,0.007677433267037334,0.0,0.010916264641388885,0.7272727272727273,0.0,0.2727272727272727
0.0,0.00837384826088936,0.0,0.008282180198162797,0.0,0.011777769038796768,0.8181818181818182,0.0,0.18181818181818177
0.0,0.009128014283342162,0.0,0.009025697305741969,0.0,0.012836816451588625,0.9090909090909092,0.0,0.09090909090909083
0.0,0.009990985053162775,0.0,0.009876694316922636,0.0,0.014048803257304655,1.0,0.0,0.0
0.0,0.009128014283342157,0.0,0.009025697305742712,0.0,0.012836816451589144,0.0,0.09090909090909091,0.9090909090909091
0.0,0.008274745974278387,0.0,0.008184492712277721,0.0,0.011638614260132669,0.09090909090909091,0.09090909090909091,0.8181818181818181
0.0,0.0075446686233327015,0.0,0.007464971923242716,0.0,0.010613568224244993,0.18181818181818182,0.09090909090909091,0.7272727272727272
0.0,0.006976564759829094,0.0,0.006905278157125931,0.0,0.009816074687744062,0.2727272727272727,0.09090909090909091,0.6363636363636364
0.0,0.006612315371744011,0.0,0.006546533647264489,0.0,0.009304827637853817,0.36363636363636365,0.09090909090909091,0.5454545454545454
0.0,0.006486354971618482,0.0,0.006422500674757561,0.0,0.00912805103705611,0.4545454545454546,0.09090909090909091,0.4545454545454545
0.0,0.006612315371743968,0.0,0.006546533647263955,0.0,0.009304827637853409,0.5454545454545454,0.09090909090909091,0.36363636363636365
0.0,0.006976564759829098,0.0,0.006905278157125784,0.0,0.00981607468774396,0.6363636363636364,0.09090909090909091,0.2727272727272727
0.0,0.007544668623332704,0.0,0.007464971923242716,0.0,0.010613568224244994,0.7272727272727273,0.09090909090909091,0.1818181818181818
0.0,0.00827474597427845,0.0,0.008184492712278215,0.0,0.011638614260133061,0.8181818181818182,0.09090909090909091,0.09090909090909086
0.0,0.00837384826088936,0.0,0.008282180198162795,0.0,0.011777769038796765,0.0,0.18181818181818182,0.8181818181818181
0.0,0.007544668623332691,0.0,0.007464971923243005,0.0,0.010613568224245189,0.09090909090909091,0.18181818181818182,0.7272727272727273
0.0,0.006857298454240335,0.0,0.006787803661698948,0.0,0.009648669371488514,0.18181818181818182,0.18181818181818182,0.6363636363636362
0.0,0.006357899579285402,0.0,0.006296024701329784,0.0,0.008947782635940163,0.2727272727272727,0.18181818181818182,0.5454545454545454
0.0,0.006092869565742587,0.0,0.006035126451429244,0.0,0.008575885425417786,0.36363636363636365,0.18181818181818182,0.45454545454545453
0.0,0.006092869565742631,0.0,0.006035126451429738,0.0,0.008575885425418164,0.4545454545454546,0.18181818181818182,0.3636363636363636
0.0,0.006357899579285402,0.0,0.006296024701329784,0.0,0.008947782635940163,0.5454545454545454,0.18181818181818182,0.27272727272727276
