true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_range
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.004988250161477003,0.019297898296464666,0.005012684270061181,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.03,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.005599297269113942,0.028475801798988565,0.0056210758601668315,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.03,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.007125668752943854,0.03900750568954614,0.007142794907774117,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.03,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.0018858785591439134,0.019297898296464666,0.001949590176853117,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.003,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.00302651923473349,0.028475801798988565,0.003066623973697335,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.003,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.005196891769600824,0.03900750568954614,0.005220349411944399,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.003,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.0018425462173494566,0.019297898296464666,0.001907705554039259,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.0015,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.002998615531922987,0.028475801798988565,0.0030390885189696634,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.0015,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.005179539310171702,0.03900750568954614,0.005203075185258944,636800.0,0.0005,-15.0,63680.0,0.16,31840.0,0.0015,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.004748515774915989,0.019297898296464666,0.004774176995301854,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.03,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.0049827254002587345,0.028475801798988565,0.005007186468689479,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.03,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.0055572315131833475,0.03900750568954614,0.005579174312473264,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.03,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.0011055769222401304,0.019297898296464666,0.001211059143408531,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.003,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.0016233425962159259,0.028475801798988565,0.00169693992307698,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.003,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.002667461523505683,0.03900750568954614,0.0027128794476029903,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.003,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.0010299218194698022,0.019297898296464666,0.0011424109908712507,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.0015,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.0015707060879639953,0.028475801798988565,0.0016466576853161083,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.0015,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.002633494708567282,0.03900750568954614,0.002679488439589788,636800.0,0.0005,-15.0,63680.0,0.08,31840.0,0.0015,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.004666701581814053,0.019297898296464666,0.0046928101998215555,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.03,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.004761768772370335,0.028475801798988565,0.004787358954513932,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.03,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.004931364129009586,0.03900750568954614,0.004956078701022201,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.03,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.0006723108805231814,0.019297898296464666,0.0008344853730972762,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.003,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.0006943562571379217,0.028475801798988565,0.0008523464845179035,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.003,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.0007422136223134805,0.03900750568954614,0.0008917650918213512,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.003,55
0.5381202654348995,0.000494331789230113,0.5574181637313642,0.000538925359674129,0.019297898296464666,0.0007313032620899036,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.0015,77
0.5381202654348995,0.000494331789230113,0.5665960672338881,0.000560363312418524,0.028475801798988565,0.000747242236325079,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.0015,66
0.5381202654348995,0.000494331789230113,0.5771277711244457,0.0006089535793608391,0.03900750568954614,0.0007843394543562263,636800.0,0.0005,-15.0,63680.0,0.008,31840.0,0.0015,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.004988250161476932,0.00643263276548825,0.0050126842700611105,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.03,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.005599297269113897,0.009491933932996133,0.005621075860166787,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.03,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.007125668752943872,0.01300250189651539,0.007142794907774136,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.03,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0018858785591439118,0.00643263276548825,0.0019495901768531154,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.003,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.003026519234733485,0.009491933932996133,0.00306662397369733,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.003,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.005196891769600918,0.01300250189651539,0.005220349411944492,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.003,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0018425462173494566,0.00643263276548825,0.001907705554039259,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.0015,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.002998615531923001,0.009491933932996133,0.003039088518969677,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.0015,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.005179539310171728,0.01300250189651539,0.00520307518525897,636800.0,0.0005,-5.0,63680.0,0.16,31840.0,0.0015,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.004748515774916016,0.00643263276548825,0.004774176995301881,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.03,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.00498272540025881,0.009491933932996133,0.005007186468689554,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.03,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.0055572315131833736,0.01300250189651539,0.00557917431247329,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.03,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0011055769222401287,0.00643263276548825,0.0012110591434085292,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.003,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.0016233425962159302,0.009491933932996133,0.0016969399230769844,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.003,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.002667461523505718,0.01300250189651539,0.002712879447603024,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.003,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0010299218194698007,0.00643263276548825,0.0011424109908712494,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.0015,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.001570706087963984,0.009491933932996133,0.0016466576853160974,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.0015,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.002633494708567324,0.01300250189651539,0.002679488439589829,636800.0,0.0005,-5.0,63680.0,0.08,31840.0,0.0015,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.004666701581814044,0.00643263276548825,0.004692810199821547,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.03,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.004761768772370317,0.009491933932996133,0.004787358954513915,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.03,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.004931364129009569,0.01300250189651539,0.004956078701022186,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.03,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0006723108805231771,0.00643263276548825,0.0008344853730972728,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.003,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.0006943562571379273,0.009491933932996133,0.000852346484517908,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.003,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.0007422136223134814,0.01300250189651539,0.0008917650918213518,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.003,55
0.17937342181163318,0.000494331789230113,0.18580605457712143,0.0005389253596741285,0.00643263276548825,0.0007313032620899032,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.0015,77
0.17937342181163318,0.000494331789230113,0.18886535574462932,0.0005603633124185258,0.009491933932996133,0.0007472422363250803,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.0015,66
0.17937342181163318,0.000494331789230113,0.19237592370814857,0.0006089535793608376,0.01300250189651539,0.0007843394543562251,636800.0,0.0005,-5.0,63680.0,0.008,31840.0,0.0015,55
0.0,0.000494331789230113,0.0,0.0049882501614769825,0.0,0.005012684270061161,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.03,77
0.0,0.000494331789230113,0.0,0.005599297269113857,0.0,0.005621075860166747,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.03,66
0.0,0.000494331789230113,0.0,0.007125668752943761,0.0,0.007142794907774024,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.03,55
0.0,0.000494331789230113,0.0,0.0018858785591439205,0.0,0.001949590176853124,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.003,77
0.0,0.000494331789230113,0.0,0.0030265192347334532,0.0,0.003066623973697299,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.003,66
0.0,0.000494331789230113,0.0,0.005196891769600972,0.0,0.005220349411944546,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.003,55
0.0,0.000494331789230113,0.0,0.001842546217349446,0.0,0.0019077055540392485,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.0015,77
0.0,0.000494331789230113,0.0,0.002998615531922987,0.0,0.0030390885189696634,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.0015,66
0.0,0.000494331789230113,0.0,0.005179539310171725,0.0,0.005203075185258967,636800.0,0.0005,0.0,63680.0,0.16,31840.0,0.0015,55
0.0,0.000494331789230113,0.0,0.004748515774915997,0.0,0.0047741769953018615,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.03,77
0.0,0.000494331789230113,0.0,0.004982725400258764,0.0,0.005007186468689508,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.03,66
0.0,0.000494331789230113,0.0,0.005557231513183352,0.0,0.005579174312473269,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.03,55
0.0,0.000494331789230113,0.0,0.001105576922240133,0.0,0.001211059143408533,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.003,77
0.0,0.000494331789230113,0.0,0.001623342596215908,0.0,0.0016969399230769631,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.003,66
0.0,0.000494331789230113,0.0,0.002667461523505678,0.0,0.002712879447602985,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.003,55
0.0,0.000494331789230113,0.0,0.0010299218194698043,0.0,0.0011424109908712526,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.0015,77
0.0,0.000494331789230113,0.0,0.001570706087963962,0.0,0.0016466576853160762,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.0015,66
0.0,0.000494331789230113,0.0,0.002633494708567285,0.0,0.002679488439589791,636800.0,0.0005,0.0,63680.0,0.08,31840.0,0.0015,55
0.0,0.000494331789230113,0.0,0.0046667015818140775,0.0,0.00469281019982158,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.03,77
0.0,0.000494331789230113,0.0,0.004761768772370404,0.0,0.004787358954514001,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.03,66
0.0,0.000494331789230113,0.0,0.0049313641290095675,0.0,0.004956078701022184,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.03,55
0.0,0.000494331789230113,0.0,0.0006723108805231846,0.0,0.0008344853730972788,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.003,77
0.0,0.000494331789230113,0.0,0.0006943562571379281,0.0,0.0008523464845179087,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.003,66
0.0,0.000494331789230113,0.0,0.0007422136223134814,0.0,0.0008917650918213518,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.003,55
0.0,0.000494331789230113,0.0,0.0005389253596741285,0.0,0.0007313032620899033,636800.0,0.0005,0.0,63680.0,0.008,31840.0,0.0015,77
